Authors,Title,Year,Source title,Cited by,Link,Document Type,Publication Stage,Source
"Chen P., Fan D., Selloni A., Carter E.A., Arnold C.B., Zhang Y., Gross A.S., Chelikowsky J.R., Yao N.","Observation of electron orbital signatures of single atoms within metal-phthalocyanines using atomic force microscopy",2023,"Nature Communications",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150665650&doi=10.1038%2fs41467-023-37023-9&partnerID=40&md5=db8373ed7a0099acb59a61bc7a204781",Article,"Final",Scopus
"Zia Uddin S.M., Gupta E., Rahim M., Wang Z., Du Y., Ullah K., Arnold C.B., Mirotznik M., Gu T.","Micro-dispenser-based optical packaging scheme for grating couplers",2023,"Optics Letters",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152562566&doi=10.1364%2fOL.486595&partnerID=40&md5=af97a3848aaf1bd0c07914c5104da692",Article,"Final",Scopus
"Rupp M., Hayashi S., Dashe C., Gupta S., Moini R., Arnold C.B.","Continuous wave laser grooving of cementitious materials",2023,"Applied Physics A: Materials Science and Processing",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147248128&doi=10.1007%2fs00339-023-06414-6&partnerID=40&md5=9cff45e78c6b16a578ce65427abe6a40",Article,"Final",Scopus
"Dutta N.S., Arnold C.B.","Illuminating the Role of Classmates in Reducing the Participation Gender Gap in Lecture-Based Engineering Classes",2022,"IEEE Transactions on Education",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125723462&doi=10.1109%2fTE.2022.3151824&partnerID=40&md5=e8d3706ecffdefef08bc7a777f0c9c56",Article,"Final",Scopus
"Ozden S., Monti S., Tozzini V., Dutta N.S., Gili S., Caggiano N., Link A.J., Pugno N.M., Higgins J., Priestley R.D., Arnold C.B.","Egg protein derived ultralightweight hybrid monolithic aerogel for water purification",2022,"Materials Today",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136694402&doi=10.1016%2fj.mattod.2022.08.001&partnerID=40&md5=abbd97b5e559a0b18807bdc39ed2ea0c",Article,"Final",Scopus
"Bizmark N., Caggiano N.J., Liu J.X., Arnold C.B., Prud’homme R.K., Datta S.S., Priestley R.D.","Hysteresis in the thermally induced phase transition of cellulose ethers",2022,"Soft Matter",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136235681&doi=10.1039%2fd2sm00564f&partnerID=40&md5=135f1abacd9251ac4e9e32fa5716f978",Article,"Final",Scopus
"Du X., Florian C., Arnold C.B.","Multi-focal laser processing in transparent materials using an ultrafast tunable acoustic lens",2022,"Optics Letters",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127438395&doi=10.1364%2fOL.447854&partnerID=40&md5=79d022fddf1e9c65725a2ed343bf053f",Article,"Final",Scopus
"Zhang W., Hou W., Deike L., Arnold C.","Understanding the Rayleigh instability in humping phenomenon during laser powder bed fusion process",2022,"International Journal of Extreme Manufacturing",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123693038&doi=10.1088%2f2631-7990%2fac466d&partnerID=40&md5=55cb3c92e8397ba288f6107206f4fe5b",Article,"Final",Scopus
"Wang Y., Liu J.X., Gu K., Soman A., Gu T., Arnold C.B., Register R.A., Loo Y.-L., Priestley R.D.","Epitaxially crystallized polyethylene exhibiting near-equilibrium melting temperatures*",2022,"Polymer Engineering and Science",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123124263&doi=10.1002%2fpen.25890&partnerID=40&md5=e31d1e1af64c050cb2592a47a614469e",Article,"Final",Scopus
"Preimesberger J.I., Arnold C.B.","The Effect of Mechanical Frequency on Piezoelectrochemical Energy Harvesters",2022,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122071303&doi=10.1109%2fTUFFC.2021.3136125&partnerID=40&md5=055a181760b177025e87ef232cae02aa",Article,"Final",Scopus
