Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Beeson, R., Namachchivaya, N.S., Perkowski, N.","57191970092;7004116225;55389754100;","APPROXIMATION OF THE FILTER EQUATION FOR MULTIPLE TIMESCALE, CORRELATED, NONLINEAR SYSTEMS",2022,"SIAM Journal on Mathematical Analysis","54","3",,"3054","3090",,,"10.1137/20M1379265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131163450&doi=10.1137%2f20M1379265&partnerID=40&md5=2a245800f49f3eab136769a2026a9569",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85131163450
"Ho, K., Beeson, R., Tomita, K., Gunasekara, O., Sinclair, A.J.","36084239500;57191970092;57216591899;57220011690;36170058800;","Analysis of information-theoretic initial sensor search method for space situation awareness",2021,"Journal of Guidance, Control, and Dynamics","44","3",,"641","645",,2,"10.2514/1.G005114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102126737&doi=10.2514%2f1.G005114&partnerID=40&md5=1ff4fd409c216bad6b9d761b53544dcc",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85102126737
"Beeson, R., Sri Namachchivaya, N.","57191970092;7004116225;","Particle filtering for chaotic dynamical systems using future right-singular vectors",2020,"Nonlinear Dynamics","102","2",,"679","696",,4,"10.1007/s11071-020-05727-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086169136&doi=10.1007%2fs11071-020-05727-y&partnerID=40&md5=e27e43272efad36d41e34433512da636",Article,"Final","",Scopus,2-s2.0-85086169136
"Yeong, H.C., Beeson, R.T., Namachchivaya, N.S., Perkowski, N.","47361689700;57191970092;7004116225;55389754100;","Particle Filters with Nudging in Multiscale Chaotic Systems: With Application to the Lorenz ’96 Atmospheric Model",2020,"Journal of Nonlinear Science","30","4",,"1519","1552",,7,"10.1007/s00332-020-09616-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079742767&doi=10.1007%2fs00332-020-09616-x&partnerID=40&md5=dc042fccbbda7d166b70ab0c02bc7f8c",Article,"Final","",Scopus,2-s2.0-85079742767
"Beeson, K.A., Beeson, R., Westbrook, G.L., Schnell, E.","56862018900;57191970092;7005404622;6701606685;","Α2δ-2 protein controls structure and function at the cerebellar climbing fiber synapse",2020,"Journal of Neuroscience","40","12",,"2403","2415",,9,"10.1523/JNEUROSCI.1514-19.2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082094358&doi=10.1523%2fJNEUROSCI.1514-19.2020&partnerID=40&md5=3f0de7b564464ce164fa08240cc3780b",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85082094358
"Beeson, R., Haddox, P., Karim, S., Jagannatha, B., Bunce, D., Cochran, K., Solomonik, E., Ghosh, A.","57191970092;56118846500;57220011252;55806038400;57191978618;57220005240;6507565755;51863557100;","Nlparopt: A parallel nonlinear programming solver-applications to astrodynamics related optimization",2020,"Advances in the Astronautical Sciences","171",,,"3251","3270",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096490845&partnerID=40&md5=788bef4402c7132f270e5e54b08153a0",Conference Paper,"Final","",Scopus,2-s2.0-85096490845
"Beeson, R., Tomita, K., Gunasekara, O., Sinclair, A., Ho, K.","57191970092;57216591899;57220011690;36170058800;36084239500;","Space-based target search methods using an optical sensor model for space situational awareness",2020,"Advances in the Astronautical Sciences","171",,,"4359","4373",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096473423&partnerID=40&md5=8a5e26a88082c2e3df9711c4280206be",Conference Paper,"Final","",Scopus,2-s2.0-85096473423
"Beeson, R., Namachchivaya, N.S.","57191970092;7004116225;","Efficient Nonlinear Filtering of Multiscale Systems with Specific Structure",2019,"FUSION 2019 - 22nd International Conference on Information Fusion",,,"9011425","","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081787623&partnerID=40&md5=b32eb696fd337020008f2f1cddd3c27e",Conference Paper,"Final","",Scopus,2-s2.0-85081787623
"Yeong, H.C., Beeson, R., Namachchivaya, N.S., Perkowski, N., Sauer, P.W.","47361689700;57191970092;7004116225;55389754100;7102773962;","Dynamic data-driven adaptive observations in data assimilation for multi-scale systems",2018,"Handbook of Dynamic Data Driven Applications Systems",,,,"47","73",,1,"10.1007/978-3-319-95504-9_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091548848&doi=10.1007%2f978-3-319-95504-9_3&partnerID=40&md5=ea26b611048ab6b1dbec5c343ee0a52a",Book Chapter,"Final","",Scopus,2-s2.0-85091548848
"Beeson, R., Yeong, H.C., Namachchivaya, N.S., Perkowski, N.","57191970092;47361689700;7004116225;55389754100;","Reduced Order Nonlinear Filters for Multi-Scale Systems with Correlated Sensor Noise",2018,"2018 21st International Conference on Information Fusion, FUSION 2018",,,"8455704","131","141",,1,"10.23919/ICIF.2018.8455704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054064374&doi=10.23919%2fICIF.2018.8455704&partnerID=40&md5=57816dd6cf12e8b97b8932fc63aa0a5d",Conference Paper,"Final","",Scopus,2-s2.0-85054064374
