Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Chen, P., Fan, D., Selloni, A., Carter, E.A., Arnold, C.B., Zhang, Y., Gross, A.S., Chelikowsky, J.R., Yao, N.","57749698300;57201991036;7005934221;7202462172;7203014096;36012236900;57277535200;7005466052;7102796828;","Observation of electron orbital signatures of single atoms within metal-phthalocyanines using atomic force microscopy",2023,"Nature Communications","14","1","1460","","",,,"10.1038/s41467-023-37023-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150665650&doi=10.1038%2fs41467-023-37023-9&partnerID=40&md5=db8373ed7a0099acb59a61bc7a204781",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85150665650
"Cai, J., Zhao, Q., Hsu, W.-Y., Choi, C., Liu, Y., Martirez, J.M.P., Chen, C., Huang, J., Carter, E.A., Huang, Y.","57208776165;57220857235;57209662132;57205057902;56975966300;55536336600;57224917834;57222761918;7202462172;13408109800;","Highly Selective Electrochemical Reduction of CO2 into Methane on Nanotwinned Cu",2023,"Journal of the American Chemical Society","145","16",,"9136","9143",,,"10.1021/jacs.3c00847","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153949644&doi=10.1021%2fjacs.3c00847&partnerID=40&md5=30922463895b8ce711d59596f604ea23",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85153949644
"Yuan, Y., Zhou, L., Robatjazi, H., Bao, J.L., Zhou, J., Bayles, A., Yuan, L., Lou, M., Lou, M., Khatiwada, S., Carter, E.A., Nordlander, P., Halas, N.J.","57347779100;55999483500;54391802600;56583352500;57556598000;57214365367;57981689200;57208925193;56797640800;57224717482;7202462172;7005155043;7005064558;","Earth-abundant photocatalyst for H2 generation from NH3 with light-emitting diode illumination",2022,"Science","378","6622",,"889","893",,6,"10.1126/science.abn5636","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142615976&doi=10.1126%2fscience.abn5636&partnerID=40&md5=e676abaa2b38a38145319956eb6926a9",Article,"Final","",Scopus,2-s2.0-85142615976
"Martirez, J.M.P., Carter, E.A.","55536336600;7202462172;","First-Principles Insights into the Thermocatalytic Cracking of Ammonia-Hydrogen Blends on Fe(110): 1. Thermodynamics",2022,"Journal of Physical Chemistry C","126","46",,"19733","19744",,,"10.1021/acs.jpcc.2c06003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141958838&doi=10.1021%2facs.jpcc.2c06003&partnerID=40&md5=60f73a2a501d2852b95962c240c23854",Article,"Final","",Scopus,2-s2.0-85141958838
"Zhao, Q., Martirez, J.M.P., Carter, E.A.","56898302400;55536336600;7202462172;","Electrochemical Hydrogenation of CO on Cu(100): Insights from Accurate Multiconfigurational Wavefunction Methods",2022,"Journal of Physical Chemistry Letters","13","44",,"10282","10290",,,"10.1021/acs.jpclett.2c02444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141482832&doi=10.1021%2facs.jpclett.2c02444&partnerID=40&md5=a96767ad703b0792478e51b4bca2610d",Article,"Final","",Scopus,2-s2.0-85141482832
"Zhao, Q., Martirez, J.M.P., Carter, E.A.","56898302400;55536336600;7202462172;","Charting C–C coupling pathways in electrochemical CO2 reduction on Cu(111) using embedded correlated wavefunction theory",2022,"Proceedings of the National Academy of Sciences of the United States of America","119","44","e2202931119","","",,3,"10.1073/pnas.2202931119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141004015&doi=10.1073%2fpnas.2202931119&partnerID=40&md5=eedcb85921a75615d5c6602c00c82582",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85141004015
"Yuan, L., Zhou, J., Zhang, M., Wen, X., Martirez, J.M.P., Robatjazi, H., Zhou, L., Carter, E.A., Nordlander, P., Halas, N.J.","57190670592;57556598000;57205733406;57921190600;55536336600;54391802600;55999483500;7202462172;7005155043;7005064558;","Plasmonic Photocatalysis with Chemically and Spatially Specific Antenna-Dual Reactor Complexes",2022,"ACS Nano","16","10",,"17365","17375",,3,"10.1021/acsnano.2c08191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139556575&doi=10.1021%2facsnano.2c08191&partnerID=40&md5=f0f8472b3d77a308d2bf847df029aa67",Article,"Final","",Scopus,2-s2.0-85139556575
"Lou, M., Bao, J.L., Zhou, L., Naidu, G.N., Robatjazi, H., Bayles, A.I., Everitt, H.O., Nordlander, P., Carter, E.A., Halas, N.J.","57208925193;56583352500;55999483500;57809462500;54391802600;57214365367;13606107000;7005155043;7202462172;7005064558;","Direct H2S Decomposition by Plasmonic Photocatalysis: Efficient Remediation plus Sustainable Hydrogen Production",2022,"ACS Energy Letters","7","10",,"3666","3674",,3,"10.1021/acsenergylett.2c01755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139449646&doi=10.1021%2facsenergylett.2c01755&partnerID=40&md5=84f1e13a735efcd60dabe62adcd7e1d2",Article,"Final","",Scopus,2-s2.0-85139449646
"Teale, A.M., Helgaker, T., Savin, A., Adamo, C., Aradi, B., Arbuznikov, A.V., Ayers, P.W., Baerends, E.J., Barone, V., Calaminici, P., Cancès, E., Carter, E.A., Chattaraj, P.K., Chermette, H., Ciofini, I., Crawford, T.D., De Proft, F., Dobson, J.F., Draxl, C., Frauenheim, T., Fromager, E., Fuentealba, P., Gagliardi, L., Galli, G., Gao, J., Geerlings, P., Gidopoulos, N., Gill, P.M.W., Gori-Giorgi, P., Görling, A., Gould, T., Grimme, S., Gritsenko, O., Jensen, H.J.A., Johnson, E.R., Jones, R.O., Kaupp, M., Köster, A.M., Kronik, L., Krylov, A.I., Kvaal, S., Laestadius, A., Levy, M., Lewin, M., Liu, S., Loos, P.-F., Maitra, N.T., Neese, F., Perdew, J.P., Pernal, K., Pernot, P., Piecuch, P., Rebolini, E., Reining, L., Romaniello, P., Ruzsinszky, A., Salahub, D.R., Scheffler, M., Schwerdtfeger, P., Staroverov, V.N., Sun, J., Tellgren, E., Tozer, D.J., Trickey, S.B., Ullrich, C.A., Vela, A., Vignale, G., Wesolowski, T.A., Xu, X., Yang, W.","8691845100;7006713705;56107461500;7006208965;6603350260;6701478390;7006131823;55666883700;57203052068;55993789000;6603846131;7202462172;56269528000;16475499000;6602091733;7102138380;7003465377;57203087453;56219171000;7005494448;16021738500;7003872934;7006451975;7202463694;7404476130;7006082598;57204380689;7202766748;56085470900;7003542770;56250763300;7005335032;7006283123;57783605200;7404681444;57213784199;7004913121;55993788700;7003962425;57640043600;19337687800;56124557800;7404616690;22980532200;7409463290;7004044473;7003703748;7003941056;7003854511;6601954999;7003316823;58085893700;35759399900;7003982019;6507628319;8549353500;7005147098;7102229641;23016803900;7003319346;26531956400;23061765700;7003766784;7004172721;7005681392;7005273670;7003317449;7004845871;56011732100;7407757509;","DFT exchange: sharing perspectives on the workhorse of quantum chemistry and materials science",2022,"Physical Chemistry Chemical Physics","24","47",,"28700","28781",,20,"10.1039/d2cp02827a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141988381&doi=10.1039%2fd2cp02827a&partnerID=40&md5=3dd99b2aaed5865e2adda61d63041b3c",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85141988381
"Robatjazi, H., Schirato, A., Alabastri, A., Christopher, P., Carter, E.A., Nordlander, P., Halas, N.J.","54391802600;57201588782;35791000300;36545732900;7202462172;7005155043;7005064558;","Reply to: Distinguishing thermal from non-thermal contributions to plasmonic hydrodefluorination",2022,"Nature Catalysis","5","4",,"247","250",,3,"10.1038/s41929-022-00768-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127310019&doi=10.1038%2fs41929-022-00768-5&partnerID=40&md5=6cea8a44acd26b2a66fb0d3219ebf935",Article,"Final","",Scopus,2-s2.0-85127310019
"Zhai, S., Nam, J., Sai Gautam, G., Lim, K., Rojas, J., Toney, M.F., Carter, E.A., Jung, I.-H., Chueh, W.C., Majumdar, A.","57200613768;57418132000;53064540800;57195058463;57203531190;7006556112;7202462172;56514655800;15019034300;57216998518;","Thermodynamic guiding principles of high-capacity phase transformation materials for splitting H2O and CO2 by thermochemical looping",2022,"Journal of Materials Chemistry A","10","7",,"3552","3561",,1,"10.1039/d1ta10391a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125017007&doi=10.1039%2fd1ta10391a&partnerID=40&md5=bdb4a13e2f1b551fb1defd7479ac3393",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85125017007
"Wexler, R.B., Carter, E.A.","36968201300;7202462172;","Oxygen-Chlorine Chemisorption Scaling for Seawater Electrolysis on Transition Metals: The Role of Redox",2022,"Advanced Theory and Simulations",,,,"","",,,"10.1002/adts.202200592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142165126&doi=10.1002%2fadts.202200592&partnerID=40&md5=8f34f3baabeaf07a6a1a980178652b3e",Article,"Article in Press","",Scopus,2-s2.0-85142165126
