Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Taunay, P.-Y.C.R., Wordingham, C.J., Choueiri, E.Y.","56941003900;55849989000;7003557504;","Physics of thermionic orificed hollow cathodes: II. Scaling laws and design rules",2022,"Plasma Sources Science and Technology","31","7","075004","","",,1,"10.1088/1361-6595/ac734d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122980674&doi=10.1088%2f1361-6595%2fac734d&partnerID=40&md5=e4ea4be5c4f2b7937598509544067910",Article,"Final","",Scopus,2-s2.0-85122980674
"Taunay, P.-Y.C.R., Wordingham, C.J., Choueiri, E.Y.","56941003900;55849989000;7003557504;","Physics of thermionic, orificed hollow cathodes: I. Theory and experimental validation",2022,"Plasma Sources Science and Technology","31","5","055006","","",,2,"10.1088/1361-6595/ac5c63","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123012307&doi=10.1088%2f1361-6595%2fac5c63&partnerID=40&md5=a873a8c8f100c2966a4ea42cae817e39",Article,"Final","",Scopus,2-s2.0-85123012307
"Wordingham, C.J., Taunay, P.-Y.C.R., Choueiri, E.Y.","55849989000;56941003900;7003557504;","The attachment length in orificed hollow cathodes",2022,"Plasma Sources Science and Technology","31","2","025018","","",,4,"10.1088/1361-6595/ac3d3f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122989947&doi=10.1088%2f1361-6595%2fac3d3f&partnerID=40&md5=5796995d8952df7557d548dca6998a59",Article,"Final","",Scopus,2-s2.0-85122989947
"Taunay, P.-Y.C.R., Wordingham, C.J., Choueiri, E.Y.","56941003900;55849989000;7003557504;","Total pressure in thermionic orificed hollow cathodes: Controlling mechanisms and their relative importance",2022,"Journal of Applied Physics","131","1","013303","","",,2,"10.1063/5.0067271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122996677&doi=10.1063%2f5.0067271&partnerID=40&md5=3a04a0d75a811c5a0f80aa1a327183c4",Article,"Final","",Scopus,2-s2.0-85122996677
"Qiao, Y., Choueiri, E.","57204047565;7003557504;","The Performance of A Personal Sound Zone System with Generic and Individualized Binaural Room Transfer Functions",2022,"AES Europe Spring 2022 - 152nd Audio Engineering Society Convention 2022",,,,"302","310",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136326488&partnerID=40&md5=c55ba3e1b12c1e081df212f8be7b6555",Conference Paper,"Final","",Scopus,2-s2.0-85136326488
"Brieda, L., Raitses, Y., Choueiri, E., Myers, R., Keidar, M.","23026601300;6701399995;7003557504;7403701181;7005101837;","Quasi-steady testing approach for high-power Hall thrusters",2021,"Journal of Applied Physics","130","18","183303","","",,1,"10.1063/5.0067232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119211446&doi=10.1063%2f5.0067232&partnerID=40&md5=70b62a80f0f7bc282e92ebc20f3de119",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85119211446
"Sridhar, R., Choueiri, E.Y.","57196537098;7003557504;","Optimal Series Truncation of the Rigid-Sphere Head-Related Transfer Function for Accurate Binaural Perception",2021,"AES: Journal of the Audio Engineering Society","69","5",,"340","350",,,"10.17743/JAES.2021.0007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111103619&doi=10.17743%2fJAES.2021.0007&partnerID=40&md5=0d35695edec71ae57fa8c8952cb2bc15",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85111103619
"Qiao, Y., Choueiri, E.","57204047565;7003557504;","Real-time Implementation of the Spectral Division Method for Binaural Personal Audio Delivery with Head Tracking",2021,"151st Audio Engineering Society Convention 2021",,,,"375","379",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123184762&partnerID=40&md5=1c377dce87a01441701e120e4c258f4b",Conference Paper,"Final","",Scopus,2-s2.0-85123184762
"Taunay, P.-Y.C.R., Choueiri, E.Y.","56941003900;7003557504;","Multi-wavelength pyrometry based on robust statistics and cross-validation of emissivity model",2020,"Review of Scientific Instruments","91","11","114902","","",,6,"10.1063/5.0019847","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095863997&doi=10.1063%2f5.0019847&partnerID=40&md5=102496fb321b7376736d6b4cc83e17fc",Article,"Final","",Scopus,2-s2.0-85095863997
"Tylka, J.G., Choueiri, E.Y.","56769520800;7003557504;","Performance of linear extrapolation methods for virtual sound field navigation",2020,"AES: Journal of the Audio Engineering Society","68","3",,"138","156",,10,"10.17743/jaes.2019.0054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084408360&doi=10.17743%2fjaes.2019.0054&partnerID=40&md5=a04e3b969c9dff46bef2abc382de236f",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084408360
