Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Heinrich, M.A., Alert, R., Wolf, A.E., Košmrlj, A., Cohen, D.J.","57218936119;56415074600;56450008700;25823131200;55453565000;","Self-assembly of tessellated tissue sheets by expansion and collision",2022,"Nature Communications","13","1","4026","","",,3,"10.1038/s41467-022-31459-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133920034&doi=10.1038%2fs41467-022-31459-1&partnerID=40&md5=35c7145dc5508ad35625d550ff7e8578",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85133920034
"LaChance, J., Schottdorf, M., Zajdel, T.J., Saunders, J.L., Dvali, S., Marshall, C., Seirup, L., Sammour, I., Chatburn, R.L., Notterman, D.A., Cohen, D.J.","57218939405;41561994900;54965406900;57221343155;57204790485;57221608265;57221601349;48761886500;7004600673;7004101476;55453565000;","PVP1—The People’s Ventilator Project: A fully open, low-cost, pressure-controlled ventilator research platform compatible with adult and pediatric uses",2022,"PLoS ONE","17","5 May","e0266810","","",,1,"10.1371/journal.pone.0266810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129961886&doi=10.1371%2fjournal.pone.0266810&partnerID=40&md5=fcb0d8ff670ad3691a50ae7221995d08",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85129961886
"LaChance, J., Suh, K., Clausen, J., Cohen, D.J.","57218939405;57226850594;57706234500;55453565000;","Learning the rules of collective cell migration using deep attention networks",2022,"PLoS Computational Biology","18","4","e1009293","","",,2,"10.1371/journal.pcbi.1009293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130634582&doi=10.1371%2fjournal.pcbi.1009293&partnerID=40&md5=e1403463d439491ff22bd3e852b96215",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85130634582
"Bourrianne, P., Chidzik, S., Cohen, D.J., Elmer, P., Hallowell, T., Kilbaugh, T.J., Lange, D., Leifer, A.M., Marlow, D.R., Meyers, P.D., Normand, E., Nunes, J., Oh, M., Page, L., Periera, T., Pivarski, J., Schreiner, H., Stone, H.A., Tank, D.W., Thiberge, S., Tully, C., Callahan, L., Creamer, M., Dvali, S., Gaillard, A.E., Glaser, A., Harrop, B.G., Johnson, D., LaChance, J.M., Lewis, T.H., Macakova, M., Murthy, M., Prevost, J., Rich, P.D., Sands, W.R., Scalice, L., Atkinson, G., Komor, M., Bradshaw, P.","56205781100;6506903106;55453565000;56448147800;57202786877;13102804800;35221944800;37052422800;57193352882;7102316379;57221253384;24758818900;57194701275;55533003000;57221251575;35227851500;57257130100;7202564376;7005634347;6602821589;35228083300;57451736400;55339728200;57204790485;57452341500;57452495600;10044475400;57452187900;57218939405;57452341600;57452341700;56745602900;57451883800;57452036800;57452036900;57452785200;57451883900;57452644900;57452645000;","Inexpensive Multipatient Respiratory Monitoring System for Helmet Ventilation During COVID-19 Pandemic",2022,"Journal of Medical Devices, Transactions of the ASME","16","1","011003","","",,2,"10.1115/1.4053386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124588433&doi=10.1115%2f1.4053386&partnerID=40&md5=6fe8994119f6d6c9a82c69d4ad8438a5",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85124588433
"Hart, K.C., Sim, J.Y., Hopcroft, M.A., Cohen, D.J., Tan, J., Nelson, W.J., Pruitt, B.","56704523000;38562023300;8972646900;55453565000;56410269900;7401693814;57195133576;","Correction to: An Easy-to-Fabricate Cell Stretcher Reveals Density-Dependent Mechanical Regulation of Collective Cell Movements in Epithelia (Cellular and Molecular Bioengineering, (2021), 10.1007/s12195-021-000689-6)",2021,"Cellular and Molecular Bioengineering","14","6",,"661","662",,,"10.1007/s12195-021-00695-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112785538&doi=10.1007%2fs12195-021-00695-8&partnerID=40&md5=1494a640a276afd86604eb55295e50af",Erratum,"Final","",Scopus,2-s2.0-85112785538
"Hart, K.C., Sim, J.Y., Hopcroft, M.A., Cohen, D.J., Tan, J., Nelson, W.J., Pruitt, B.L.","56704523000;38562023300;8972646900;55453565000;56410269900;7401693814;57195133576;","An Easy-to-Fabricate Cell Stretcher Reveals Density-Dependent Mechanical Regulation of Collective Cell Movements in Epithelia",2021,"Cellular and Molecular Bioengineering","14","6",,"569","581",,1,"10.1007/s12195-021-00689-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111405238&doi=10.1007%2fs12195-021-00689-6&partnerID=40&md5=3e120054b992d881db3cdafe9f55d3ef",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85111405238
"Zajdel, T.J., Shim, G., Cohen, D.J.","54965406900;57211364832;55453565000;","Come together: On-chip bioelectric wound closure",2021,"Biosensors and Bioelectronics","192",,"113479","","",,9,"10.1016/j.bios.2021.113479","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109569361&doi=10.1016%2fj.bios.2021.113479&partnerID=40&md5=45e1b548de0b98ca1911cb24ccea08b9",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85109569361
"Nirody, J.A., Duran, L.A., Johnston, D., Cohen, D.J.","55156107300;57218687251;57223093357;55453565000;","Tardigrades exhibit robust interlimb coordination across walking speeds and terrains",2021,"Proceedings of the National Academy of Sciences of the United States of America","118","35","e2107289118","","",,8,"10.1073/pnas.2107289118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113496544&doi=10.1073%2fpnas.2107289118&partnerID=40&md5=48b3405c6d947f97afbef7f08be348e9",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85113496544
"Shim, G., Devenport, D., Cohen, D.J.","57211364832;6505774315;55453565000;","Overriding native cell coordination enhances external programming of collective cell migration",2021,"Proceedings of the National Academy of Sciences of the United States of America","118","29","e2101352118","","",,14,"10.1073/pnas.2101352118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110386987&doi=10.1073%2fpnas.2101352118&partnerID=40&md5=d43f237037330e1bfbb4aa541708656e",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85110386987
"LaChance, J., Cohen, D.J.","57218939405;55453565000;","Practical fluorescence reconstruction microscopy for large samples and low-magnification imaging",2020,"PLoS Computational Biology","16","12 December","e1008443","","",,7,"10.1371/journal.pcbi.1008443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098918622&doi=10.1371%2fjournal.pcbi.1008443&partnerID=40&md5=8a02116a41f943519e54a4ee284261d4",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85098918622
"Heinrich, M.A., Alert, R., Lachance, J.M., Zajdel, T.J., Mrlj, A.K., Cohen, D.J.","57218936119;56415074600;57218939405;54965406900;57218935882;55453565000;","Size-dependent patterns of cell proliferation and migration in freely-expanding epithelia",2020,"eLife","9",,"e58945","1","21",,14,"10.7554/ELIFE.58945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090849006&doi=10.7554%2fELIFE.58945&partnerID=40&md5=594aa36b6452817e173afe31ba86c66d",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85090849006
"Zajdel, T.J., Shim, G., Wang, L., Rossello-Martinez, A., Cohen, D.J.","54965406900;57211364832;57212152439;57217181378;55453565000;","SCHEEPDOG: Programming Electric Cues to Dynamically Herd Large-Scale Cell Migration",2020,"Cell Systems","10","6",,"506","514.e3",,26,"10.1016/j.cels.2020.05.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086659241&doi=10.1016%2fj.cels.2020.05.009&partnerID=40&md5=90ad004e67cd5f1ee8caec0afb26e58c",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85086659241
"Bisaria, A., Hayer, A., Garbett, D., Cohen, D., Meyer, T.","53363303800;8546094600;8889746100;55453565000;7403382771;","Membrane-proximal F-actin restricts local membrane protrusions and directs cell migration",2020,"Science","368","6496",,"1205","1210",,57,"10.1126/science.aay7794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086424857&doi=10.1126%2fscience.aay7794&partnerID=40&md5=91d855f7323cb1a44c1c8a5a6dda3061",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85086424857
"Cohen, D.J., Nelson, W.J.","55453565000;7401693814;","Secret handshakes: cell–cell interactions and cellular mimics",2018,"Current Opinion in Cell Biology","50",,,"14","19",,8,"10.1016/j.ceb.2018.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042914497&doi=10.1016%2fj.ceb.2018.01.001&partnerID=40&md5=1271280ff6face6981e396eb8cb5867d",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85042914497
"Cohen, D.J.","55453565000;","Sorting Things Out: Cell Sorting during Hydra Regeneration",2017,"Biophysical Journal","113","12",,"2577","2578",,,"10.1016/j.bpj.2017.11.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038376555&doi=10.1016%2fj.bpj.2017.11.007&partnerID=40&md5=7fafa9ddae25722efef7b28ab20a0929",Short Survey,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85038376555
