Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Erinin, M.A., Néel, B., Mazzatenta, M.T., Duncan, J.H., Deike, L.","57202150630;56414440700;57796092700;58235840000;53979713400;","Comparison between shadow imaging and in-line holography for measuring droplet size distributions",2023,"Experiments in Fluids","64","5","96","","",,,"10.1007/s00348-023-03633-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85157982914&doi=10.1007%2fs00348-023-03633-8&partnerID=40&md5=8eafeea780e6ecd2f92847e101720f46",Article,"Final","",Scopus,2-s2.0-85157982914
"Farsoiya, P.K., Magdelaine, Q., Antkowiak, A., Popinet, S., Deike, L.","57195679483;56205491300;6506414592;6603177647;53979713400;","Direct numerical simulations of bubble-mediated gas transfer and dissolution in quiescent and turbulent flows",2023,"Journal of Fluid Mechanics","954",,"A29","","",,,"10.1017/jfm.2022.994","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146248545&doi=10.1017%2fjfm.2022.994&partnerID=40&md5=aa9d5b6a83ad753e55a9872d9611485b",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85146248545
"Graziani, C., Nespoulous, M., Denoyel, R., Fauve, S., Chauveau, C., Deike, L., Antoni, M.","58022493000;57202656951;55225083500;57204335345;7004097532;53979713400;7006852574;","A new experimental set-up for aerosol stability investigations in microgravity conditions",2023,"Comptes Rendus - Mecanique","351",,,"","",,,"10.5802/crmeca.159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153847329&doi=10.5802%2fcrmeca.159&partnerID=40&md5=24f682f7cbc242968de591d17850ea29",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85153847329
"Aiyer, A.K., Deike, L., Mueller, M.E.","57219628689;53979713400;7402452551;","A Sea Surface-Based Drag Model for Large-Eddy Simulation of Wind-Wave Interaction",2023,"Journal of the Atmospheric Sciences","80","1",,"49","62",,,"10.1175/JAS-D-21-0329.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145435664&doi=10.1175%2fJAS-D-21-0329.1&partnerID=40&md5=071d6a14a4f0d18b9bb7edf0aeadda0e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85145435664
"Deike, L., Reichl, B.G., Paulot, F.","53979713400;56121625800;24528897900;","A Mechanistic Sea Spray Generation Function Based on the Sea State and the Physics of Bubble Bursting",2022,"AGU Advances","3","6","e2022AV000750","","",,2,"10.1029/2022AV000750","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144981825&doi=10.1029%2f2022AV000750&partnerID=40&md5=35a4004fcda140896de67eccae347b13",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85144981825
"Shin, Y., Deike, L., Romero, L.","57222172481;53979713400;36103296600;","Modulation of Bubble-Mediated CO2 Gas Transfer Due To Wave-Current Interactions",2022,"Geophysical Research Letters","49","22","e2022GL100017","","",,,"10.1029/2022GL100017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142905685&doi=10.1029%2f2022GL100017&partnerID=40&md5=426d0c93cd7ed661176dc85b767d615b",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85142905685
"Ruth, D.J., Aiyer, A.K., Rivière, A., Perrard, S., Deike, L.","57212444830;57219628689;57221321250;55266408200;53979713400;","Experimental observations and modelling of sub-Hinze bubble production by turbulent bubble break-up",2022,"Journal of Fluid Mechanics","951",,"A32","","",,,"10.1017/jfm.2022.604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142317885&doi=10.1017%2fjfm.2022.604&partnerID=40&md5=c3e11811d704a20d11b47e5e28796827",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85142317885
"Wu, J., Popinet, S., Deike, L.","57254536900;6603177647;53979713400;","Revisiting wind wave growth with fully coupled direct numerical simulations",2022,"Journal of Fluid Mechanics","951",,"A18","","",,3,"10.1017/jfm.2022.822","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141913363&doi=10.1017%2fjfm.2022.822&partnerID=40&md5=1bb89a8b46d669581dd66bd4c6e5ae91",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85141913363
"Farsoiya, P.K., Popinet, S., Deike, L.","57195679483;6603177647;53979713400;","Direct numerical simulations of dilute gas transfer by breaking waves",2022,"Physical Review Fluids","7","11","110506","","",,,"10.1103/PhysRevFluids.7.110506","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143910365&doi=10.1103%2fPhysRevFluids.7.110506&partnerID=40&md5=eb94208a2aa6de6187e2b046ace89075",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85143910365
"Néel, B., Deike, L.","56414440700;53979713400;","Velocity and size quantification of drops in single and collective bursting bubbles experiments",2022,"Physical Review Fluids","7","10","103603","","",,1,"10.1103/PhysRevFluids.7.103603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140138495&doi=10.1103%2fPhysRevFluids.7.103603&partnerID=40&md5=8247f958a4b81dcfefa09b9b3d1f5dc6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85140138495
"Ruth, D.J., Néel, B., Erinin, M.A., Mazzatenta, M., Jaquette, R., Veron, F., Deike, L.","57212444830;56414440700;57202150630;57796092700;57795963700;6602654938;53979713400;","Three-Dimensional Measurements of Air Entrainment and Enhanced Bubble Transport During Wave Breaking",2022,"Geophysical Research Letters","49","16","e2022GL099436","","",,1,"10.1029/2022GL099436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137657713&doi=10.1029%2f2022GL099436&partnerID=40&md5=a823e11ac62f9fbb0ea8d07b318189bc",Article,"Final","",Scopus,2-s2.0-85137657713
"Rivière, A., Ruth, D.J., Mostert, W., Deike, L., Perrard, S.","57221321250;57212444830;56364886100;53979713400;55266408200;","Capillary driven fragmentation of large gas bubbles in turbulence",2022,"Physical Review Fluids","7","8","083602","","",,4,"10.1103/PhysRevFluids.7.083602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138191848&doi=10.1103%2fPhysRevFluids.7.083602&partnerID=40&md5=c3d5a142840a82bd96d185c42442a205",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85138191848
"Erinin, M.A., Néel, B., Ruth, D.J., Mazzatenta, M., Jaquette, R.D., Veron, F., Deike, L.","57202150630;56414440700;57212444830;57796092700;57795963700;6602654938;53979713400;","Speed and Acceleration of Droplets Generated by Breaking Wind-Forced Waves",2022,"Geophysical Research Letters","49","13","e2022GL098426","","",,2,"10.1029/2022GL098426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133918386&doi=10.1029%2f2022GL098426&partnerID=40&md5=f80019be3147b39b4d0d55c73ed3a6c2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85133918386
"Mostert, W., Popinet, S., Deike, L.","56364886100;6603177647;53979713400;","High-resolution direct simulation of deep water breaking waves: Transition to turbulence, bubbles and droplets production",2022,"Journal of Fluid Mechanics","942",,"A27","","",,12,"10.1017/jfm.2022.330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131682514&doi=10.1017%2fjfm.2022.330&partnerID=40&md5=885afc1ec63c6220bb9f81b6c611542e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85131682514
"Aiyer, A.K., Deike, L., Mueller, M.E.","57219628689;53979713400;7402452551;","A wall-modeled approach accounting for wave stress in Large Eddy Simulations of offshore wind farms",2022,"Journal of Physics: Conference Series","2265","2","022013","","",,,"10.1088/1742-6596/2265/2/022013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131868540&doi=10.1088%2f1742-6596%2f2265%2f2%2f022013&partnerID=40&md5=c5877fbf78b7b408f841c11647c43466",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85131868540
"Wang, S., Garlock, M., Deike, L., Glisic, B.","57190674409;9039655700;53979713400;57200346944;","Feasibility of Kinetic Umbrellas as Deployable Flood Barriers during Landfalling Hurricanes",2022,"Journal of Structural Engineering (United States)","148","5","04022047","","",,4,"10.1061/(ASCE)ST.1943-541X.0003295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127064559&doi=10.1061%2f%28ASCE%29ST.1943-541X.0003295&partnerID=40&md5=b4012a0b345bdf3628ae1a1a12270605",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85127064559
"Zhang, W., Hou, W., Deike, L., Arnold, C.","57219297059;57219296452;53979713400;7203014096;","Understanding the Rayleigh instability in humping phenomenon during laser powder bed fusion process",2022,"International Journal of Extreme Manufacturing","4","1","015201","","",,1,"10.1088/2631-7990/ac466d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123693038&doi=10.1088%2f2631-7990%2fac466d&partnerID=40&md5=55cb3c92e8397ba288f6107206f4fe5b",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85123693038
"Néel, B., Erinin, M.A., Deike, L.","56414440700;57202150630;53979713400;","Role of Contamination in Optimal Droplet Production by Collective Bubble Bursting",2022,"Geophysical Research Letters","49","1","e2021GL096740","","",,9,"10.1029/2021GL096740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122752296&doi=10.1029%2f2021GL096740&partnerID=40&md5=b1680b1dc3332fa74eabb7b163705419",Letter,"Final","All Open Access, Green",Scopus,2-s2.0-85122752296
"Berny, A., Deike, L., Popinet, S., Séon, T.","57204562345;53979713400;6603177647;8606102900;","Size and speed of jet drops are robust to initial perturbations",2022,"Physical Review Fluids","7","1","013602","","",,3,"10.1103/PhysRevFluids.7.013602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123305355&doi=10.1103%2fPhysRevFluids.7.013602&partnerID=40&md5=c9628c7069c9618108934c698fd8cd29",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85123305355
"Tang, K., Mostert, W., Fuster, D., Deike, L.","57354051200;56364886100;35573426400;53979713400;","Effects of surface tension on the Richtmyer-Meshkov instability in fully compressible and inviscid fluids",2021,"Physical Review Fluids","6","11","113901","","",,1,"10.1103/PhysRevFluids.6.113901","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120005738&doi=10.1103%2fPhysRevFluids.6.113901&partnerID=40&md5=e728e2bb7f4c62b58f937e344d492d28",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85120005738
"Wu, J., Deike, L.","57254536900;53979713400;","Wind wave growth in the viscous regime",2021,"Physical Review Fluids","6","9","094801","","",,7,"10.1103/PhysRevFluids.6.094801","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114695979&doi=10.1103%2fPhysRevFluids.6.094801&partnerID=40&md5=4a3d984e991a7a35379ae1f700eeff90",Article,"Final","",Scopus,2-s2.0-85114695979
"Berny, A., Popinet, S., Séon, T., Deike, L.","57204562345;6603177647;8606102900;53979713400;","Statistics of Jet Drop Production",2021,"Geophysical Research Letters","48","10","e2021GL092919","","",,13,"10.1029/2021GL092919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106908227&doi=10.1029%2f2021GL092919&partnerID=40&md5=e375106198a17157c8123498a75d584a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85106908227
"Deike, L.","53979713400;","Mass Transfer at the Ocean-Atmosphere Interface: The Role of Wave Breaking, Droplets, and Bubbles",2021,"Annual Review of Fluid Mechanics","54",,,"191","224",,27,"10.1146/annurev-fluid-030121-014132","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122750004&doi=10.1146%2fannurev-fluid-030121-014132&partnerID=40&md5=87fae00368195b13cd01c5f65a487702",Review,"Final","",Scopus,2-s2.0-85122750004
"Ruth, D.J., Vernet, M., Perrard, S., Deike, L.","57212444830;57226602883;55266408200;53979713400;","The effect of nonlinear drag on the rise velocity of bubbles in turbulence",2021,"Journal of Fluid Mechanics","924",,"A2","","",,3,"10.1017/jfm.2021.556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112055028&doi=10.1017%2fjfm.2021.556&partnerID=40&md5=65aea1e7e8cc6a5c1f766019f13bf0fd",Article,"Final","",Scopus,2-s2.0-85112055028
"Farsoiya, P.K., Popinet, S., Deike, L.","57195679483;6603177647;53979713400;","Bubble-mediated transfer of dilute gas in turbulence",2021,"Journal of Fluid Mechanics","920",,"A34","","",,8,"10.1017/jfm.2021.447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107978179&doi=10.1017%2fjfm.2021.447&partnerID=40&md5=6e65ccac57e58bcb5ec436612fb27bd5",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85107978179
"Rivière, A., Mostert, W., Perrard, S., Deike, L.","57221321250;56364886100;55266408200;53979713400;","Sub-Hinze scale bubble production in turbulent bubble break-up",2021,"Journal of Fluid Mechanics","917",,"A40","","",,30,"10.1017/jfm.2021.243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104069869&doi=10.1017%2fjfm.2021.243&partnerID=40&md5=dd485b188e96ab80f21c613ad1420e57",Article,"Final","",Scopus,2-s2.0-85104069869
