Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Ronceray, P., Mao, S., Košmrlj, A., Haataja, M.P.","53980375700;57204472286;25823131200;7004308266;","Liquid demixing in elastic networks: Cavitation, permeation, or size selection?",2022,"EPL","137","6","67001","","",,8,"10.1209/0295-5075/ac56ac","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130149755&doi=10.1209%2f0295-5075%2fac56ac&partnerID=40&md5=211febfcf3025a180f35cd305bf78cce",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85130149755
"Shimobayashi, S.F., Ronceray, P., Sanders, D.W., Haataja, M.P., Brangwynne, C.P.","55699909800;53980375700;56207103800;7004308266;8685632100;","Nucleation landscape of biomolecular condensates",2021,"Nature","599","7885",,"503","506",,54,"10.1038/s41586-021-03905-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115290571&doi=10.1038%2fs41586-021-03905-5&partnerID=40&md5=59c6d978f1894faded4e09ceaad8d847",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85115290571
"Liu, J.X., Bizmark, N., Scott, D.M., Register, R.A., Haataja, M.P., Datta, S.S., Arnold, C.B., Priestley, R.D.","57417684600;36187751800;57212585694;7005741264;7004308266;23004344900;7203014096;7003933607;","Evolution of Polymer Colloid Structure During Precipitation and Phase Separation",2021,"JACS Au","1","7",,"936","944",,4,"10.1021/jacsau.1c00110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139877695&doi=10.1021%2fjacsau.1c00110&partnerID=40&md5=235acf9a58cbc4cef8647955ed285281",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85139877695
"Xia, Y., Berry, J., Haataja, M.P.","57211758663;7402634309;7004308266;","Defect-Enabled Phase Programming of Transition Metal Dichalcogenide Monolayers",2021,"Nano Letters","21","11",,"4676","4683",,2,"10.1021/acs.nanolett.1c00742","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108020250&doi=10.1021%2facs.nanolett.1c00742&partnerID=40&md5=dacd788f6b046ff3cb305b90abe9f083",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85108020250
"Xia, Y., Davis, R.S., Haataja, M.P.","57211758663;57206024774;7004308266;","Strain Relaxation in Misfitting Transition Metal Dichalcogenide Monolayer Superlattices: Wrinkling vs Misfit Dislocation Formation",2019,"Nano Letters","19","12",,"8724","8731",,5,"10.1021/acs.nanolett.9b03425","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074928842&doi=10.1021%2facs.nanolett.9b03425&partnerID=40&md5=2f94e7968a00bab4e61a7bce21b23e47",Article,"Final","",Scopus,2-s2.0-85074928842
"Shin, Y., Chang, Y.-C., Lee, D.S.W., Berry, J., Sanders, D.W., Ronceray, P., Wingreen, N.S., Haataja, M., Brangwynne, C.P.","35269966100;57204685311;57207418892;7402634309;56207103800;53980375700;7004658079;7004308266;8685632100;","Erratum: Liquid Nuclear Condensates Mechanically Sense and Restructure the Genome (Cell (2018) 175(6) (1481–1491.e13), (S0092867418314569), (10.1016/j.cell.2018.10.057))",2019,"Cell","176","6",,"1518","",,17,"10.1016/j.cell.2019.02.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062214165&doi=10.1016%2fj.cell.2019.02.025&partnerID=40&md5=1a2189c9712957780415d4494eb8852f",Erratum,"Final","All Open Access, Bronze",Scopus,2-s2.0-85062214165
"Mao, S., Kuldinow, D., Haataja, M.P., Košmrlj, A.","57204472286;57205694163;7004308266;25823131200;","Phase behavior and morphology of multicomponent liquid mixtures",2019,"Soft Matter","15","6",,"1297","1311",,44,"10.1039/c8sm02045k","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061111264&doi=10.1039%2fc8sm02045k&partnerID=40&md5=7e267acb96109591a40f12641586f10d",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85061111264
"Shin, Y., Chang, Y.-C., Lee, D.S.W., Berry, J., Sanders, D.W., Ronceray, P., Wingreen, N.S., Haataja, M., Brangwynne, C.P.","35269966100;57204685311;57207418892;7402634309;56207103800;53980375700;7004658079;7004308266;8685632100;","Liquid Nuclear Condensates Mechanically Sense and Restructure the Genome",2018,"Cell","175","6",,"1481","1491.e13",,336,"10.1016/j.cell.2018.10.057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056697987&doi=10.1016%2fj.cell.2018.10.057&partnerID=40&md5=5e95fd78555c3682a6225b70cd591b51",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85056697987
"Berry, J., Zhou, S., Han, J., Srolovitz, D.J., Haataja, M.P.","7402634309;56957465400;56828399600;7005571880;7004308266;","Domain morphology and mechanics of the H/ T′ transition metal dichalcogenide monolayers",2018,"Physical Review Materials","2","11","114002","","",,16,"10.1103/PhysRevMaterials.2.114002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060575193&doi=10.1103%2fPhysRevMaterials.2.114002&partnerID=40&md5=76f46993abc1694e468fa1a9824a52db",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85060575193
"Berry, J., Brangwynne, C.P., Haataja, M.","7402634309;8685632100;7004308266;","Physical principles of intracellular organization via active and passive phase transitions",2018,"Reports on Progress in Physics","81","4","046601","","",,196,"10.1088/1361-6633/aaa61e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044935576&doi=10.1088%2f1361-6633%2faaa61e&partnerID=40&md5=002ba39414db5536af172671547bc7c6",Review,"Final","",Scopus,2-s2.0-85044935576
