Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Dixit, M.B., Vishugopi, B.S., Zaman, W., Kenesei, P., Park, J.-S., Almer, J., Mukherjee, P.P., Hatzell, K.B.","56401591400;57550781700;57211187386;57202944707;9739207000;6701663080;57207291331;55336668000;","Polymorphism of garnet solid electrolytes and its implications for grain-level chemo-mechanics",2022,"Nature Materials","21","11",,"1298","1305",,12,"10.1038/s41563-022-01333-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137044783&doi=10.1038%2fs41563-022-01333-y&partnerID=40&md5=cff8fb454e01c28d9905d703ed86ec79",Article,"Final","",Scopus,2-s2.0-85137044783
"Hatzell, K.B.","55336668000;","Opportunities for halide solid electrolytes in solid-state batteries",2022,"Matter","5","8",,"2533","2535",,1,"10.1016/j.matt.2022.06.055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135864758&doi=10.1016%2fj.matt.2022.06.055&partnerID=40&md5=b671f3608d8874876216fe6eee6addd0",Note,"Final","",Scopus,2-s2.0-85135864758
"Zaman, W., Hatzell, K.B.","57211187386;55336668000;","Processing and manufacturing of next generation lithium-based all solid-state batteries",2022,"Current Opinion in Solid State and Materials Science","26","4","101003","","",,11,"10.1016/j.cossms.2022.101003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128282698&doi=10.1016%2fj.cossms.2022.101003&partnerID=40&md5=a9bd43064294d34df575b0b4707f3f2f",Review,"Final","",Scopus,2-s2.0-85128282698
"Ren, Y., Hortance, N., Hatzell, K.B.","57190573762;57211193951;55336668000;","Mitigating Chemo-Mechanical Failure in Li-S Solid State Batteries with Compliant Cathodes",2022,"Journal of the Electrochemical Society","169","6","060503","","",,,"10.1149/1945-7111/ac64cb","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131768066&doi=10.1149%2f1945-7111%2fac64cb&partnerID=40&md5=7389738b1e1535ea49af85f3fc629218",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85131768066
"Zhao, L., Wang, Q.J., Zhang, X., Hatzell, K.B., Zaman, W., Martin, T.V., Wang, Z.","57218602255;51565265600;56949638600;55336668000;57211187386;57543373200;8886137600;","Laplace-Fourier transform solution to the electrochemical kinetics of a symmetric lithium cell affected by interface conformity",2022,"Journal of Power Sources","531",,"231305","","",,3,"10.1016/j.jpowsour.2022.231305","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126896050&doi=10.1016%2fj.jpowsour.2022.231305&partnerID=40&md5=3008735f45a57c8f9a522e674065d22f",Article,"Final","",Scopus,2-s2.0-85126896050
"Augustyn, V., Hatzell, K.B., Jeffries-EL, M., Lutkenhaus, J.L., Stingelin, N.","36463163500;55336668000;6507242223;57918701400;24403087400;","Introduction to the special collection in memoriam of Susan A. Odom (16 November 1980-18 April 2021)",2022,"Materials Advances",,,,"","",,,"10.1039/d2ma90085h","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139393352&doi=10.1039%2fd2ma90085h&partnerID=40&md5=67e92ee849daf12b94a9d674b0600790",Editorial,"Article in Press","All Open Access, Gold",Scopus,2-s2.0-85139393352
"Vishnugopi, B.S., Dixit, M.B., Hao, F., Shyam, B., Cook, J.B., Hatzell, K.B., Mukherjee, P.P.","57216369158;56401591400;15725027400;24377193600;55644346600;55336668000;57207291331;","Mesoscale Interrogation Reveals Mechanistic Origins of Lithium Filaments along Grain Boundaries in Inorganic Solid Electrolytes",2022,"Advanced Energy Materials","12","3","2102825","","",,20,"10.1002/aenm.202102825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121372788&doi=10.1002%2faenm.202102825&partnerID=40&md5=27d8bd7429b84f997b0632aae752f813",Article,"Final","",Scopus,2-s2.0-85121372788
"Zaman, W., Matsumoto, R.A., Thompson, M.W., Liu, Y.-H., Bootwala, Y., Dixit, M.B., Nemsak, S., Crumlin, E., Hatzell, M.C., Cummings, P.T., Hatzell, K.B.","57211187386;57206473409;57191431385;57204649812;57193524659;56401591400;8973571200;6505606756;25632391700;36045248400;55336668000;","In situ investigation of water on MXene interfaces",2021,"Proceedings of the National Academy of Sciences of the United States of America","118","49","e2108325118","","",,10,"10.1073/pnas.2108325118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120882758&doi=10.1073%2fpnas.2108325118&partnerID=40&md5=2e03d89a128af219ace2bdf54f60f6fc",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85120882758
"Dixit, M.B., Park, J.-S., Kenesei, P., Almer, J., Hatzell, K.B.","56401591400;9739207000;57202944707;6701663080;55336668000;","Status and prospect of: In situ and operando characterization of solid-state batteries",2021,"Energy and Environmental Science","14","9",,"4672","4711",,29,"10.1039/d1ee00638j","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115852803&doi=10.1039%2fd1ee00638j&partnerID=40&md5=844571bc44acdbfa08c53cecf5cf9176",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85115852803
"Zheng, Y., Caceres Gonzalez, R.A., Hatzell, K.B., Hatzell, M.C.","57206518143;57220865047;55336668000;25632391700;","Large-scale solar-thermal desalination",2021,"Joule","5","8",,"1971","1986",,37,"10.1016/j.joule.2021.07.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112410747&doi=10.1016%2fj.joule.2021.07.005&partnerID=40&md5=353eec442e3eafaa1bddbcee24de5b21",Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-85112410747
