Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kurelek, J.W., Piqué, A., Hultmark, M.","57163804400;57219390657;22957764800;","Performance of the porous disk wind turbine model at a high Reynolds number: Solidity distribution and length scales effects",2023,"Journal of Wind Engineering and Industrial Aerodynamics","237",,"105377","","",,,"10.1016/j.jweia.2023.105377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152493007&doi=10.1016%2fj.jweia.2023.105377&partnerID=40&md5=e0881326abe8dcd678962afd6a73aaba",Article,"Final","",Scopus,2-s2.0-85152493007
"Keli, A., Rahnama, S., Hultmark, G., Hultmark, M., Afshari, A.","57210915774;48662531900;6506690966;22957764800;7003549728;","Evaluation of Elastic Filament Velocimetry (EFV) Sensor in Ventilation Systems: An Experimental Study",2023,"Sustainability (Switzerland)","15","3","1955","","",,,"10.3390/su15031955","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147965747&doi=10.3390%2fsu15031955&partnerID=40&md5=82ffde6c178c59627e4dbd781a83b117",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85147965747
"Simon, N., Piqué, A., Snyder, D., Ikuma, K., Majumdar, A., Hultmark, M.","57901012200;57219390657;57193926903;57900808900;55325126200;22957764800;","Fast-response hot-wire flow sensors for wind and gust estimation on UAVs",2023,"Measurement Science and Technology","34","2","025109","","",,,"10.1088/1361-6501/ac9f5c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142434067&doi=10.1088%2f1361-6501%2fac9f5c&partnerID=40&md5=3f965baea8d9b2c246318c5e185107e2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85142434067
"Brunier-Coulin, F., Barros, D.C., Piqué, A., Hultmark, M., Dupont, P.","57194068325;56382794100;57219390657;22957764800;7102716868;","Thermal response of a nanoscale hot-wire in subsonic and supersonic flows",2023,"Experiments in Fluids","64","1","8","","",,,"10.1007/s00348-022-03545-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145351973&doi=10.1007%2fs00348-022-03545-z&partnerID=40&md5=5d1b9f669b2786dc90975d1b8b109f0a",Article,"Final","",Scopus,2-s2.0-85145351973
"Limacher, E.J., Ding, L., Piqué, A., Smits, A.J., Hultmark, M.","56256403100;57211347093;57219390657;7102735299;22957764800;","On the relationship between turbine thrust and near-wake velocity and vorticity",2022,"Journal of Fluid Mechanics","949",,"A24","","",,,"10.1017/jfm.2022.722","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139556928&doi=10.1017%2fjfm.2022.722&partnerID=40&md5=fc01c7ba520e56c60b2e3b1fe5bfe65d",Article,"Final","",Scopus,2-s2.0-85139556928
"Sundin, J., Ciri, U., Leonardi, S., Hultmark, M., Bagheri, S.","57205380865;56820186700;34571014100;22957764800;18435967600;","Heat transfer increase by convection in liquid-infused surfaces for laminar and turbulent flows",2022,"Journal of Fluid Mechanics","941",,"A9","","",,3,"10.1017/jfm.2022.279","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129726533&doi=10.1017%2fjfm.2022.279&partnerID=40&md5=a0024620388817012915df8cd91f6169",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85129726533
"Brunner, C.E., Kiefer, J., Hultmark, M.","57219361059;57191968356;22957764800;","Comparison of dynamic stall on an airfoil undergoing sinusoidal and VAWT-shaped pitch motions",2022,"Journal of Physics: Conference Series","2265","3","032006","","",,,"10.1088/1742-6596/2265/3/032006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131808387&doi=10.1088%2f1742-6596%2f2265%2f3%2f032006&partnerID=40&md5=80ddfccc74482c0cac5986952bb65bb5",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85131808387
"Piqué, A., Miller, M.A., Hultmark, M.","57219390657;57199377017;22957764800;","Laboratory investigation of the near and intermediate wake of a wind turbine at very high Reynolds numbers",2022,"Experiments in Fluids","63","6","106","","",,4,"10.1007/s00348-022-03455-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131828704&doi=10.1007%2fs00348-022-03455-0&partnerID=40&md5=864ed5313439f941a39ce1fdcb7b1fff",Article,"Final","",Scopus,2-s2.0-85131828704
"Kiefer, J., Brunner, C.E., Hansen, M.O.L., Hultmark, M.","57191968356;57219361059;35567263200;22957764800;","Dynamic stall at high Reynolds numbers induced by ramp-type pitching motions",2022,"Journal of Fluid Mechanics","938",,"A10","","",,5,"10.1017/jfm.2022.70","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127593374&doi=10.1017%2fjfm.2022.70&partnerID=40&md5=4b9e8c7fc5f875b4d3b7a75afcfdf84b",Article,"Final","",Scopus,2-s2.0-85127593374
"Piqué, A., Miller, M.A., Hultmark, M.","57219390657;57199377017;22957764800;","Dominant flow features in the wake of a wind turbine at high Reynolds numbers",2022,"Journal of Renewable and Sustainable Energy","14","3","033304","","",,1,"10.1063/5.0086746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132380894&doi=10.1063%2f5.0086746&partnerID=40&md5=5c610561eb1a2662c7bea5064a203e0b",Article,"Final","",Scopus,2-s2.0-85132380894
