Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Mayfield, E., Jenkins, J., Larson, E., Greig, C.","55208573500;56048270700;7202762128;56641062700;","Labor pathways to achieve net-zero emissions in the United States by mid-century",2023,"Energy Policy","177",,"113516","","",,,"10.1016/j.enpol.2023.113516","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152134156&doi=10.1016%2fj.enpol.2023.113516&partnerID=40&md5=d622e003b8ae9d661a310e051900db6d",Article,"Final","",Scopus,2-s2.0-85152134156
"Moglen, R., Chawla, K.P., Levi, P., Sun, Y., Phillips, O., Leibowicz, B.D., Jenkins, J.D., Grubert, E.A.","57202293167;58147789800;56045675200;58147133800;58147002700;55998327100;56048270700;43261213300;","The state of macro-energy systems research: Common critiques, current progress, and research priorities",2023,"iScience","26","4","106325","","",,,"10.1016/j.isci.2023.106325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150358183&doi=10.1016%2fj.isci.2023.106325&partnerID=40&md5=c59f63d9d82e5eb6e9fc55cf64f23a63",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85150358183
"Schwartz, J.A., Ricks, W., Kolemen, E., Jenkins, J.D.","57908748700;57210956955;9278048500;56048270700;","The value of fusion energy to a decarbonized United States electric grid",2023,"Joule","7","4",,"675","699",,,"10.1016/j.joule.2023.02.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151556867&doi=10.1016%2fj.joule.2023.02.006&partnerID=40&md5=659a89c0a6bc6548d682118635539788",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85151556867
"Cheng, F., Luo, H., Jenkins, J.D., Larson, E.D.","57206782611;57200439083;56048270700;7202762128;","The value of low- and negative-carbon fuels in the transition to net-zero emission economies: Lifecycle greenhouse gas emissions and cost assessments across multiple fuel types",2023,"Applied Energy","331",,"120388","","",,1,"10.1016/j.apenergy.2022.120388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145838012&doi=10.1016%2fj.apenergy.2022.120388&partnerID=40&md5=bff28e657986cad010ae991b78f5c940",Article,"Final","",Scopus,2-s2.0-85145838012
"Ricks, W., Xu, Q., Jenkins, J.D.","57210956955;58061795500;56048270700;","Minimizing emissions from grid-based hydrogen production in the United States",2023,"Environmental Research Letters","18","1","014025","","",,,"10.1088/1748-9326/acacb5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146150519&doi=10.1088%2f1748-9326%2facacb5&partnerID=40&md5=1bf44d3f3e940d485c5f2bf5df3d7713",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85146150519
"Lau, M., Ricks, W., Patankar, N., Jenkins, J.D.","57932495200;57210956955;55602738600;56048270700;","Europe's way out: Tools to rapidly eliminate imports of Russian natural gas",2022,"Joule","6","10",,"2219","2224",,4,"10.1016/j.joule.2022.09.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140087911&doi=10.1016%2fj.joule.2022.09.003&partnerID=40&md5=1ff749d6d824cdc031c4e53d472a78aa",Note,"Final","",Scopus,2-s2.0-85140087911
"Cheng, F., Patankar, N., Chakrabarti, S., Jenkins, J.D.","57206782611;55602738600;56176851900;56048270700;","Modeling the operational flexibility of natural gas combined cycle power plants coupled with flexible carbon capture and storage via solvent storage and flexible regeneration",2022,"International Journal of Greenhouse Gas Control","118",,"103686","","",,3,"10.1016/j.ijggc.2022.103686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130324990&doi=10.1016%2fj.ijggc.2022.103686&partnerID=40&md5=ca05ca0b320f443be34727a9359039cb",Article,"Final","",Scopus,2-s2.0-85130324990
"Ricks, W., Norbeck, J., Jenkins, J.","57210956955;55354525500;56048270700;","The value of in-reservoir energy storage for flexible dispatch of geothermal power",2022,"Applied Energy","313",,"118807","","",,4,"10.1016/j.apenergy.2022.118807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125790834&doi=10.1016%2fj.apenergy.2022.118807&partnerID=40&md5=7f00cbecbe199c414479b422727c56b6",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85125790834
"Fell, H., Gilbert, A., Jenkins, J.D., Mildenberger, M.","35589764900;56450158300;56048270700;23470335800;","Nuclear power and renewable energy are both associated with national decarbonization",2022,"Nature Energy","7","1",,"25","29",,16,"10.1038/s41560-021-00964-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123866193&doi=10.1038%2fs41560-021-00964-w&partnerID=40&md5=01a16822bdad6e5a663d72cbd08b1d24",Note,"Final","",Scopus,2-s2.0-85123866193
"Mayfield, E., Jenkins, J.","55208573500;56048270700;","Influence of high road labor policies and practices on renewable energy costs, decarbonization pathways, and labor outcomes",2021,"Environmental Research Letters","16","12","124012","","",,5,"10.1088/1748-9326/ac34ba","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120810131&doi=10.1088%2f1748-9326%2fac34ba&partnerID=40&md5=0c3e020314b6fa00ab952fc2fb28b127",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85120810131
