Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Thawko, A., Wang, Z., Liu, N., Ju, Y.","57202549855;57189508011;57197818734;7202809556;","Observation of two different cool flame regimes of diethyl ether in a counterflow burner",2023,"Fuel","346",,"128269","","",,,"10.1016/j.fuel.2023.128269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151832967&doi=10.1016%2fj.fuel.2023.128269&partnerID=40&md5=9f91406c0aa5e33f851f6515f925b128",Article,"Final","",Scopus,2-s2.0-85151832967
"Dong, Q., Lele, A.D., Zhao, X., Li, S., Cheng, S., Wang, Y., Cui, M., Guo, M., Brozena, A.H., Lin, Y., Li, T., Xu, L., Qi, A., Kevrekidis, I.G., Mei, J., Pan, X., Liu, D., Ju, Y., Hu, L.","57685989500;57201028088;57957128400;57221704787;57698341000;58122125100;58190033000;58190063200;36186571600;57424464400;58190033100;58190047800;58190047900;35479930600;58189988000;57199233524;58022895700;7202809556;12800263400;","Depolymerization of plastics by means of electrified spatiotemporal heating",2023,"Nature","616","7957",,"488","494",,,"10.1038/s41586-023-05845-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152980119&doi=10.1038%2fs41586-023-05845-8&partnerID=40&md5=d96e6ee8e531359a4e80ee96a3542ed1",Article,"Final","",Scopus,2-s2.0-85152980119
"Lele, A.D., Ju, Y.","57201028088;7202809556;","Assessment of the impact of reactor residence time distribution on non-equilibrium product selectivity of polypropylene pyrolysis using reactive molecular dynamics simulations",2023,"Fuel","338",,"127328","","",,1,"10.1016/j.fuel.2022.127328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145856669&doi=10.1016%2fj.fuel.2022.127328&partnerID=40&md5=c60eef11951a871f2aaa428befb38fde",Article,"Final","",Scopus,2-s2.0-85145856669
"Mendiburu, A.Z., Carvalho, J.A., Ju, Y.","55385725000;57212048688;7202809556;","Flammability Limits: A Comprehensive Review of Theory, Experiments, and Estimation Methods",2023,"Energy and Fuels","37","6",,"4151","4197",,,"10.1021/acs.energyfuels.2c03598","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149370693&doi=10.1021%2facs.energyfuels.2c03598&partnerID=40&md5=58f852e32ef4c54423b08a32703de4c5",Review,"Final","",Scopus,2-s2.0-85149370693
"Burger, C.M., Zhang, A.J., Xu, Y., Hansen, N., Ju, Y.","57218270754;57688695200;58072475100;56575379300;7202809556;","Plasma-Assisted Chemical-Looping Combustion: Low-Temperature Methane and Ethylene Oxidation with Nickel Oxide",2023,"Journal of Physical Chemistry A","127","3",,"789","798",,,"10.1021/acs.jpca.2c07184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146617343&doi=10.1021%2facs.jpca.2c07184&partnerID=40&md5=c78e3741de8fd7c8f77cb543877fcce3",Article,"Final","",Scopus,2-s2.0-85146617343
"Wang, Z., Yan, C., Mei, B., Lin, Y., Ju, Y.","57189508011;57190674075;58055912700;57424464400;7202809556;","Study of Low- and Intermediate-Temperature Oxidation Kinetics of Diethyl Ether in a Supercritical Pressure Jet-Stirred Reactor",2023,"Journal of Physical Chemistry A","127","2",,"506","516",,1,"10.1021/acs.jpca.2c06182","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145983210&doi=10.1021%2facs.jpca.2c06182&partnerID=40&md5=7cdaa07fac84d243e625820702f6c8ad",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85145983210
"Chen, T.Y., Mao, X., Zhong, H., Lin, Y., Liu, N., Goldberg, B.M., Ju, Y., Kolemen, E.","57202684452;56902122500;57207717798;57424464400;58046070900;56730033800;7202809556;9278048500;","Impact of CH4 addition on the electron properties and electric field dynamics in a Ar nanosecond-pulsed dielectric barrier discharge",2022,"Plasma Sources Science and Technology","31","12","125013","","",,,"10.1088/1361-6595/acab81","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145882776&doi=10.1088%2f1361-6595%2facab81&partnerID=40&md5=f66015d7d76ef102bca42995e283f7a1",Article,"Final","",Scopus,2-s2.0-85145882776
"Zhong, H., Yang, X., Mao, X., Shneider, M.N., Adamovich, I.V., Ju, Y.","57207717798;57200620284;56902122500;7006230145;7003472641;7202809556;","Plasma thermal-chemical instability of low-temperature dimethyl ether oxidation in a nanosecond-pulsed dielectric barrier discharge",2022,"Plasma Sources Science and Technology","31","11","114003","","",,2,"10.1088/1361-6595/ac9a6a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141919072&doi=10.1088%2f1361-6595%2fac9a6a&partnerID=40&md5=9ad0415ec793e47cd6ae8b5b96c1b71a",Article,"Final","",Scopus,2-s2.0-85141919072
"Lin, Y., Abram, C.M., Shi, X., McKendry, I.G., Wang, Z., Zhong, H., Zhao, H., Yang, X., Koel, B.E., Yan, C., Ju, Y.","57424464400;55365303200;57874963000;7003561239;57875791200;57207717798;57218616830;57205924596;35556864000;57190674075;7202809556;","Enhanced Thermal Stability of Aerosol-Synthesized Ni-Rich Li-Ion Battery Cathode Materials via Concentration-Gradient Ca Doping",2022,"ACS Applied Energy Materials","5","9",,"10751","10757",,,"10.1021/acsaem.2c01471","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137284224&doi=10.1021%2facsaem.2c01471&partnerID=40&md5=a19482c8b740a7a49a30e1ee5a3c80ff",Article,"Final","",Scopus,2-s2.0-85137284224
"Yan, C., Zhao, H., Wang, Z., Song, G., Lin, Y., Mulvihill, C.R., Jasper, A.W., Klippenstein, S.J., Ju, Y.","57190674075;57218616830;57189508011;32667995500;57424464400;56972614100;7003460943;7003582226;7202809556;","Low- and intermediate-temperature oxidation of dimethyl ether up to 100 atm in a supercritical pressure jet-stirred reactor",2022,"Combustion and Flame","243",,"112059","","",,8,"10.1016/j.combustflame.2022.112059","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123457891&doi=10.1016%2fj.combustflame.2022.112059&partnerID=40&md5=0597d4eb0daf7ba326b57f7e00cf280f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85123457891
