Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Schwartz, J.A., Ricks, W., Kolemen, E., Jenkins, J.D.","57908748700;57210956955;9278048500;56048270700;","The value of fusion energy to a decarbonized United States electric grid",2023,"Joule","7","4",,"675","699",,,"10.1016/j.joule.2023.02.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151556867&doi=10.1016%2fj.joule.2023.02.006&partnerID=40&md5=659a89c0a6bc6548d682118635539788",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85151556867
"Dudt, D.W., Conlin, R., Panici, D., Kolemen, E.","57202685319;57215536613;57573794400;9278048500;","The DESC stellarator code suite Part 3: Quasi-symmetry optimization",2023,"Journal of Plasma Physics","89","2","955890201","","",,,"10.1017/S0022377823000235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152601894&doi=10.1017%2fS0022377823000235&partnerID=40&md5=3dca351a2109d2958e5cae31940dacf5",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85152601894
"Abbate, J., Conlin, R., Shousha, R., Erickson, K., Kolemen, E.","57221933263;57215536613;57211234351;7101770370;9278048500;","A general infrastructure for data-driven control design and implementation in tokamaks",2023,"Journal of Plasma Physics","89","1","895890102","","",,,"10.1017/S0022377822001040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146849104&doi=10.1017%2fS0022377822001040&partnerID=40&md5=4bee36d63326209bc39bbd8ea9e9b6f8",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85146849104
"Chen, T.Y., Mao, X., Zhong, H., Lin, Y., Liu, N., Goldberg, B.M., Ju, Y., Kolemen, E.","57202684452;56902122500;57207717798;57424464400;58046070900;56730033800;7202809556;9278048500;","Impact of CH4 addition on the electron properties and electric field dynamics in a Ar nanosecond-pulsed dielectric barrier discharge",2022,"Plasma Sources Science and Technology","31","12","125013","","",,,"10.1088/1361-6595/acab81","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145882776&doi=10.1088%2f1361-6595%2facab81&partnerID=40&md5=f66015d7d76ef102bca42995e283f7a1",Article,"Final","",Scopus,2-s2.0-85145882776
"Halfmoon, M.R., Hatch, D.R., Kotschenreuther, M.T., Mahajan, S.M., Nelson, A.O., Kolemen, E., Curie, M., Diallo, A., Groebner, R.J., Hassan, E., Belli, E.A., Candy, J.","36682366100;8859422700;6602133563;55532373700;57212854876;9278048500;57220782707;22978871000;7006506887;56530285600;24824096700;8118474500;","Gyrokinetic analysis of inter-edge localized mode transport mechanisms in a DIII-D pedestal",2022,"Physics of Plasmas","29","11","112505","","",,2,"10.1063/5.0102152","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143253897&doi=10.1063%2f5.0102152&partnerID=40&md5=cc304fd5e0908b8ad08dc3878693383c",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85143253897
"Kim, S.K., Pamela, S., Logan, N., Na, Y.-S., Lee, C., Park, J.-K., Yang, S., Hu, Q., Becoulet, M., Huijsmans, G., Hoelzl, M., In, Y., Kim, M.W., Lee, H.H., Lee, J., Lee, J.H., Kwon, O., Kolemen, E.","57339072100;35074786500;35783451500;7006088533;57207967279;24759204100;57188590547;51461400500;6701556312;7006695965;55920025700;8575447100;57218082169;36646116200;36476380500;54407222500;55579790800;9278048500;","Nonlinear MHD modeling of n = 1 RMP-induced pedestal transport and mode coupling effects on ELM suppression in KSTAR",2022,"Nuclear Fusion","62","10","106021","","",,3,"10.1088/1741-4326/ac84ef","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138207958&doi=10.1088%2f1741-4326%2fac84ef&partnerID=40&md5=49b6139770d27017a4bd5647778019e0",Article,"Final","",Scopus,2-s2.0-85138207958
"Kaptanoglu, A.A., Jalalvand, A., Garcia, A.V., Austin, M.E., Verdoolaege, G., Schneider, J., Hansen, C.J., Brunton, S.L., Heidbrink, W.W., Kolemen, E.","57215562061;25927227700;57211521389;7202193382;15049986400;57685438200;57196788399;36024889600;7005965941;9278048500;","Exploring data-driven models for spatiotemporally local classification of Alfvén eigenmodes",2022,"Nuclear Fusion","62","10","106014","","",,,"10.1088/1741-4326/ac8a03","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137259095&doi=10.1088%2f1741-4326%2fac8a03&partnerID=40&md5=8e02a223007f7ec66c3497dc346bfe23",Article,"Final","",Scopus,2-s2.0-85137259095
"Wai, J.T., Boyer, M.D., Kolemen, E.","57218764204;53983795100;9278048500;","Neural net modeling of equilibria in NSTX-U",2022,"Nuclear Fusion","62","8","086042","","",,,"10.1088/1741-4326/ac77e6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134661846&doi=10.1088%2f1741-4326%2fac77e6&partnerID=40&md5=b04d7240e29b666c2c2107097e0fb783",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85134661846
"Saenz, F., Sun, Z., Fisher, A.E., Wynne, B., Kolemen, E.","57730187000;57204242300;57192914975;57729591900;9278048500;","Divertorlets concept for low-recycling fusion reactor divertor: Experimental, analytical and numerical verification",2022,"Nuclear Fusion","62","8","086008","","",,,"10.1088/1741-4326/ac6682","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131430266&doi=10.1088%2f1741-4326%2fac6682&partnerID=40&md5=b885abd8c362c69418866549cc38d6c3",Article,"Final","",Scopus,2-s2.0-85131430266
"Schwartz, J.A., Nelson, A.O., Kolemen, E.","57212214048;57212854876;9278048500;","To dee or not to dee: Costs and benefits of altering the triangularity of a steady-state DEMO-like reactor",2022,"Nuclear Fusion","62","7","076006","","",,2,"10.1088/1741-4326/ac62f6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130451066&doi=10.1088%2f1741-4326%2fac62f6&partnerID=40&md5=3e1236e959a69489d7664b7eeac0d8c7",Article,"Final","",Scopus,2-s2.0-85130451066
"Jalalvand, A., Abbate, J., Conlin, R., Verdoolaege, G., Kolemen, E.","25927227700;57221933263;57215536613;15049986400;9278048500;","Real-Time and Adaptive Reservoir Computing With Application to Profile Prediction in Fusion Plasma",2022,"IEEE Transactions on Neural Networks and Learning Systems","33","6",,"2630","2641",,6,"10.1109/TNNLS.2021.3085504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131270230&doi=10.1109%2fTNNLS.2021.3085504&partnerID=40&md5=4869390ecb073e0482408f580d427204",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85131270230
