Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zavodnik, J., Košmrlj, A., Brojan, M.","57996239200;25823131200;8869161800;","Rate-dependent evolution of wrinkling films due to growth on semi-infinite planar viscoelastic substrates",2023,"Journal of the Mechanics and Physics of Solids","173",,"105219","","",,,"10.1016/j.jmps.2023.105219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147193777&doi=10.1016%2fj.jmps.2023.105219&partnerID=40&md5=4e85116bf6c4d4fc922b180faab41b6b",Article,"Final","",Scopus,2-s2.0-85147193777
"Tong, S., Sknepnek, R., Košmrlj, A.","57222354450;6507810488;25823131200;","Linear viscoelastic response of the vertex model with internal and external dissipation: Normal modes analysis",2023,"Physical Review Research","5","1","013143","","",,,"10.1103/PhysRevResearch.5.013143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151395697&doi=10.1103%2fPhysRevResearch.5.013143&partnerID=40&md5=0b2f1cb9b193b13c1191c9042759b157",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85151395697
"Heinrich, M.A., Alert, R., Wolf, A.E., Košmrlj, A., Cohen, D.J.","57218936119;56415074600;56450008700;25823131200;55453565000;","Self-assembly of tessellated tissue sheets by expansion and collision",2022,"Nature Communications","13","1","4026","","",,3,"10.1038/s41467-022-31459-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133920034&doi=10.1038%2fs41467-022-31459-1&partnerID=40&md5=35c7145dc5508ad35625d550ff7e8578",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85133920034
"Tong, S., Singh, N.K., Sknepnek, R., Košmrlj, A.","57222354450;57225725198;6507810488;25823131200;","Linear viscoelastic properties of the vertex model for epithelial tissues",2022,"PLoS Computational Biology","18","5","e1010135","","",,8,"10.1371/journal.pcbi.1010135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130771775&doi=10.1371%2fjournal.pcbi.1010135&partnerID=40&md5=3bb73ab5ddc16b4f1befd05bb54649b2",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85130771775
"Ronceray, P., Mao, S., Košmrlj, A., Haataja, M.P.","53980375700;57204472286;25823131200;7004308266;","Liquid demixing in elastic networks: Cavitation, permeation, or size selection?",2022,"EPL","137","6","67001","","",,8,"10.1209/0295-5075/ac56ac","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130149755&doi=10.1209%2f0295-5075%2fac56ac&partnerID=40&md5=211febfcf3025a180f35cd305bf78cce",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85130149755
"Jaslove, J.M., Goodwin, K., Sundarakrishnan, A., Spurlin, J.W., Mao, S., Košmrlj, A., Nelson, C.M.","56080418600;57191612382;55941348400;55566396700;57204472286;25823131200;7403704252;","Transmural pressure signals through retinoic acid to regulate lung branching",2022,"Development (Cambridge)","149","2","dev199726","","",,6,"10.1242/dev.199726","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123658834&doi=10.1242%2fdev.199726&partnerID=40&md5=cce6c0f73d7b77c513d27fefd191af21",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85123658834
"Palmer, M.A., Nerger, B.A., Goodwin, K., Sudhakar, A., Lemke, S.B., Ravindran, P.T., Toettcher, J.E., Košmrlj, A., Nelson, C.M.","57217835805;55749399800;57191612382;57391498800;55420651700;57195371175;8595483900;25823131200;7403704252;","Stress ball morphogenesis: How the lizard builds its lung",2021,"Science Advances","7","52","eabk0161","","",,4,"10.1126/sciadv.abk0161","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122045006&doi=10.1126%2fsciadv.abk0161&partnerID=40&md5=264278b35c21e1274981d1cfb31e120c",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122045006
"Imran Alsous, J., Rozman, J., Marmion, R.A., Košmrlj, A., Shvartsman, S.Y.","57195502928;57218310372;55549309700;25823131200;7003816437;","Clonal dominance in excitable cell networks",2021,"Nature Physics","17","12",,"1391","1395",,4,"10.1038/s41567-021-01383-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118406967&doi=10.1038%2fs41567-021-01383-0&partnerID=40&md5=aa5147e7cb4ff17e9870669e4c07b797",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85118406967
"Nerger, B.A., Jaslove, J.M., Elashal, H.E., Mao, S., Košmrlj, A., Link, A.J., Nelson, C.M.","55749399800;56080418600;57189302213;57204472286;25823131200;55336500800;7403704252;","Local accumulation of extracellular matrix regulates global morphogenetic patterning in the developing mammary gland",2021,"Current Biology","31","9",,"1903","1917.e6",,9,"10.1016/j.cub.2021.02.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105282684&doi=10.1016%2fj.cub.2021.02.015&partnerID=40&md5=170bd6d8929d7f70feee62f615c4adb7",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85105282684
"Sarkar, S., Čebron, M., Brojan, M., Košmrlj, A.","57219692101;55346620200;8869161800;25823131200;","Elastic multipole method for describing deformation of infinite two-dimensional solids with circular inclusions",2021,"Physical Review E","103","5","053003","","",,3,"10.1103/PhysRevE.103.053003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106554346&doi=10.1103%2fPhysRevE.103.053003&partnerID=40&md5=ce56f7de5c772f24b86a6130993f3e48",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85106554346
"Sarkar, S., Čebron, M., Brojan, M., Košmrlj, A.","57219692101;55346620200;8869161800;25823131200;","Method of image charges for describing deformation of bounded two-dimensional solids with circular inclusions",2021,"Physical Review E","103","5","053004","","",,5,"10.1103/PhysRevE.103.053004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106553347&doi=10.1103%2fPhysRevE.103.053004&partnerID=40&md5=c87cd242a5a8b0229fddd23026f0f805",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85106553347
"Morshedifard, A., Ruiz-García, M., Abdolhosseini Qomi, M.J., Košmrlj, A.","57193109708;56047339400;26321019200;25823131200;","Buckling of thermalized elastic sheets",2021,"Journal of the Mechanics and Physics of Solids","149",,"104296","","",,16,"10.1016/j.jmps.2021.104296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100423642&doi=10.1016%2fj.jmps.2021.104296&partnerID=40&md5=635b40a10a1550644ff7bd56aa646c8c",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85100423642
"Mao, S., Chakraverti-Wuerthwein, M.S., Gaudio, H., Košmrlj, A.","57204472286;57191912826;57219740333;25823131200;","Designing the Morphology of Separated Phases in Multicomponent Liquid Mixtures",2020,"Physical Review Letters","125","21","218003","","",,18,"10.1103/PhysRevLett.125.218003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097311463&doi=10.1103%2fPhysRevLett.125.218003&partnerID=40&md5=417b977cd937293cf6a301ec6f93877b",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85097311463
"Singh, A.R., Košmrlj, A., Bruinsma, R.","57211750987;25823131200;7005679191;","Finite Temperature Phase Behavior of Viral Capsids as Oriented Particle Shells",2020,"Physical Review Letters","124","15","158101","","",,6,"10.1103/PhysRevLett.124.158101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084696075&doi=10.1103%2fPhysRevLett.124.158101&partnerID=40&md5=82d81050b411408ab3605aaca6abc001",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85084696075
"Fei, C., Mao, S., Yan, J., Alert, R., Stone, H.A., Bassler, B.L., Wingreen, N.S., Košmrlj, A.","57204467653;57204472286;57188581089;56415074600;7202564376;7003556315;7004658079;25823131200;","Nonuniform growth and surface friction determine bacterial biofilm morphology on soft substrates",2020,"Proceedings of the National Academy of Sciences of the United States of America","117","14",,"7622","7632",,47,"10.1073/pnas.1919607117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083078098&doi=10.1073%2fpnas.1919607117&partnerID=40&md5=d6cabe94fe7772018437ae071d9ce690",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85083078098
"Goodwin, K., Mao, S., Guyomar, T., Miller, E., Radisky, D.C., Košmrlj, A., Nelson, C.M.","57191612382;57204472286;57196418174;55315993400;6603819929;25823131200;7403704252;","Smooth muscle differentiation shapes domain branches during mouse lung development",2019,"Development (Cambridge)","146","22","dev181172","","",,40,"10.1242/dev.181172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075713650&doi=10.1242%2fdev.181172&partnerID=40&md5=1fb092990f04c19952ed5a533ce5311d",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85075713650
"Yan, J., Fei, C., Mao, S., Moreau, A., Wingreen, N.S., Košmrlj, A., Stone, H.A., Bassler, B.L.","57188581089;57204467653;57204472286;57204472253;7004658079;25823131200;7202564376;7003556315;","Mechanical instability and interfacial energy drive biofilm morphogenesis",2019,"eLife","8",,"e43920","","",,45,"10.7554/eLife.43920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064534392&doi=10.7554%2feLife.43920&partnerID=40&md5=362b05e6ab02a7636dddc374b386aefd",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85064534392
