Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Li, H., Liang, W., Law, C.K.","57202729536;55364159300;7201607381;","Facilitated ignition and detonation initiation of hydrogen-oxygen mixtures by ozone doping",2022,"Combustion and Flame","246",,"112474","","",,1,"10.1016/j.combustflame.2022.112474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141586557&doi=10.1016%2fj.combustflame.2022.112474&partnerID=40&md5=eee193fdedf4203b70d5c33bad5d6d18",Article,"Final","",Scopus,2-s2.0-85141586557
"Li, C., Li, H., Liang, W., Law, C.K.","57958505900;57202729536;55364159300;7201607381;","On Ozone Addition in Ignition and Explosion Characteristics of Methane-Oxygen Mixtures",2022,"Energy and Fuels","36","22",,"13833","13841",,1,"10.1021/acs.energyfuels.2c02665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141650558&doi=10.1021%2facs.energyfuels.2c02665&partnerID=40&md5=0d4b33aac4c3756dcd8ec5b1a0301f6a",Article,"Final","",Scopus,2-s2.0-85141650558
"Zhou, Z., Lin, K., Wang, Y., Wang, J., Law, C.K., Yang, B.","57210563770;57212091562;57218532661;57200018055;7201607381;55712725800;","OptEx: An integrated framework for experimental design and combustion kinetic model optimization",2022,"Combustion and Flame","245",,"112298","","",,,"10.1016/j.combustflame.2022.112298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135419702&doi=10.1016%2fj.combustflame.2022.112298&partnerID=40&md5=fcba25a175c797bb6a1a10ca034fcfb5",Article,"Final","",Scopus,2-s2.0-85135419702
"Li, J., Liang, W., Chen, J., Han, W., Law, C.K.","57927198900;55364159300;57927199000;49861304900;7201607381;","Role of Surface Reactions in Hydrogen-Oxygen Explosion Limits",2022,"Energy and Fuels","36","20",,"12729","12736",,1,"10.1021/acs.energyfuels.2c02693","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139875406&doi=10.1021%2facs.energyfuels.2c02693&partnerID=40&md5=839c222ba8022fa3422573f82e8157e1",Article,"Final","",Scopus,2-s2.0-85139875406
"Sui, R., Mantzaras, J., Liu, Z., Law, C.K.","57217508676;7004592640;57202690701;7201607381;","Kinetic modeling of total oxidation of propane over rhodium",2022,"Combustion and Flame","243",,"111847","","",,3,"10.1016/j.combustflame.2021.111847","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120373136&doi=10.1016%2fj.combustflame.2021.111847&partnerID=40&md5=4e9cd38e9afd50b09892a17d8dce3121",Article,"Final","",Scopus,2-s2.0-85120373136
"Li, H., Liang, W., Law, C.K.","57202729536;55364159300;7201607381;","Role of ozone addition on premixed hydrogen/oxygen flames: Multi-zone structure and multi-regime dynamics",2022,"Combustion and Flame","242",,"112188","","",,1,"10.1016/j.combustflame.2022.112188","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130392826&doi=10.1016%2fj.combustflame.2022.112188&partnerID=40&md5=5c57e39b8e1bc268547f8e325abe349f",Article,"Final","",Scopus,2-s2.0-85130392826
"Wei, Y., Mu, Z., Zhang, Y., Yang, Y., Liu, S., Law, C.K., Saha, A.","14326101800;57330024200;57214782502;36989889700;8402405100;7201607381;36081092000;","Dynamics and morphology of droplet penetrating a soap film",2022,"Journal of Fluid Mechanics","933",,"A32","","",,1,"10.1017/jfm.2021.1078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122828413&doi=10.1017%2fjfm.2021.1078&partnerID=40&md5=360bd3e21ba8ea13050b88b75cb327b9",Article,"Final","",Scopus,2-s2.0-85122828413
"Wu, Y., Lin, S., Zhou, W., Law, C.K., Yang, B.","57220858172;56953702900;58115938500;7201607381;55712725800;","Chemical Kinetic Model Reduction Through Species-Targeted Semi-Global Sensitivity Analysis [基于组分半全局敏感性的燃烧反应动力学模型简化方法]",2022,"Ranshao Kexue Yu Jishu/Journal of Combustion Science and Technology","28","6",,"715","721",,,"10.11715/rskxjs.R202211012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148716380&doi=10.11715%2frskxjs.R202211012&partnerID=40&md5=5f7d0af1e74ae846972965d3571835f0",Article,"Final","",Scopus,2-s2.0-85148716380
"Liang, W., Law, C.K.","55364159300;7201607381;","Generalized description and extrapolation of extinction stretch rates from spherically expanding flames",2022,"Proceedings of the Combustion Institute",,,,"","",,,"10.1016/j.proci.2022.08.134","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147106747&doi=10.1016%2fj.proci.2022.08.134&partnerID=40&md5=32dbb82fc87b9cb58e466c660c0a1ffc",Article,"Article in Press","",Scopus,2-s2.0-85147106747
"Yu, R., Liu, J., Liang, W., Law, C.K., Wang, H., Ouyang, M.","57215828048;56611434100;55364159300;7201607381;55941476100;7007149577;","On explosion limits of NCA battery vent gas",2022,"Proceedings of the Combustion Institute",,,,"","",,,"10.1016/j.proci.2022.11.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143747604&doi=10.1016%2fj.proci.2022.11.010&partnerID=40&md5=d063a1b420b02191674e267066326de0",Article,"Article in Press","",Scopus,2-s2.0-85143747604
"Pan, J., Wang, L., Liang, W., Law, C.K., Wei, H., Shu, G.","55551121100;57225162396;55364159300;7201607381;7402517376;57729189800;","Multi-regime reaction front and detonation initiation by temperature inhomogeneity",2022,"Proceedings of the Combustion Institute",,,,"","",,3,"10.1016/j.proci.2022.07.260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142771016&doi=10.1016%2fj.proci.2022.07.260&partnerID=40&md5=386b075d15fcd983207a67f41f78b33f",Article,"Article in Press","",Scopus,2-s2.0-85142771016
"Li, S., Yao, Q., Law, C.K., Zhuo, J., Zhang, H.","57194346718;7202585952;7201607381;24337055500;44861829200;","Structure and generation mechanism of blue whirls",2022,"Proceedings of the Combustion Institute",,,,"","",,,"10.1016/j.proci.2022.10.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141830503&doi=10.1016%2fj.proci.2022.10.003&partnerID=40&md5=ec1fbffa0113030ee6c700f7dc4fba4c",Article,"Article in Press","",Scopus,2-s2.0-85141830503
"Liu, Z., Fan, X., Chen, H., Yang, J., Zhao, L., Law, C.K., Yang, B.","57210419135;57202467812;57220059178;35204218200;57188931062;7201607381;55712725800;","Synergistic effects in toluene/C3H4 isomers co-pyrolysis: Formation of indene and naphthalene",2022,"Proceedings of the Combustion Institute",,,,"","",,,"10.1016/j.proci.2022.09.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141389066&doi=10.1016%2fj.proci.2022.09.033&partnerID=40&md5=a6b75c027e93bcbce7359ff8743a783f",Article,"Article in Press","",Scopus,2-s2.0-85141389066
"Wang, Y., Dong, W., Liang, W., Yang, B., Law, C.K.","57218532661;57221927747;55364159300;55712725800;7201607381;","Predicting octane number from species profiles: A deep learning model",2022,"Proceedings of the Combustion Institute",,,,"","",,1,"10.1016/j.proci.2022.08.015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139181972&doi=10.1016%2fj.proci.2022.08.015&partnerID=40&md5=c44b670b4a88783fdbf4a4b6ef1abc5b",Article,"Article in Press","",Scopus,2-s2.0-85139181972
"Shen, X., Fu, W., Liang, W., Wen, J.X., Liu, H., Law, C.K.","57651757000;57870262100;55364159300;57201586904;26424663800;7201607381;","Strong flame acceleration and detonation limit of hydrogen-oxygen mixture at cryogenic temperature",2022,"Proceedings of the Combustion Institute",,,,"","",,,"10.1016/j.proci.2022.07.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137117014&doi=10.1016%2fj.proci.2022.07.005&partnerID=40&md5=17df7ea150207b3baec295d309b96a75",Article,"Article in Press","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85137117014
"Lin, K., Zhou, Z., Wang, Y., Law, C.K., Yang, B.","57212091562;57210563770;57218532661;7201607381;55712725800;","Using active subspace-based similarity analysis for design of combustion experiments",2022,"Proceedings of the Combustion Institute",,,,"","",,1,"10.1016/j.proci.2022.07.114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135421108&doi=10.1016%2fj.proci.2022.07.114&partnerID=40&md5=4b9fa2dcb62d3edad86d8b7160a8752a",Article,"Article in Press","",Scopus,2-s2.0-85135421108
"Zhou, Z., Huang, C., Lin, K., Wang, Y., Law, C.K., Yang, B.","57210563770;56962924600;57212091562;57218532661;7201607381;55712725800;","High-efficiency design of combustion kinetic experiments based on genetic algorithm",2022,"Proceedings of the Combustion Institute",,,,"","",,1,"10.1016/j.proci.2022.07.203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135419836&doi=10.1016%2fj.proci.2022.07.203&partnerID=40&md5=3f59fe59d67775d002e9adf0a00f5c6e",Article,"Article in Press","",Scopus,2-s2.0-85135419836
"Yang, X., Shen, X., Zhao, P., Law, C.K.","36714710400;57651757000;57244723200;7201607381;","Statistical Analysis on Rate Parameters of the H2-O2Reaction System",2021,"Journal of Physical Chemistry A","125","47",,"10223","10234",,1,"10.1021/acs.jpca.1c08250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119919502&doi=10.1021%2facs.jpca.1c08250&partnerID=40&md5=78cf0810926cf88c51dbb0ec3a329c2c",Article,"Final","",Scopus,2-s2.0-85119919502
"Lin, K., Zhou, Z., Law, C.K., Yang, B.","57212091562;57210563770;7201607381;57215374612;","Dimensionality reduction for surrogate model construction for global sensitivity analysis: Comparison between active subspace and local sensitivity analysis",2021,"Combustion and Flame","232",,"111501","","",,8,"10.1016/j.combustflame.2021.111501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107457860&doi=10.1016%2fj.combustflame.2021.111501&partnerID=40&md5=be3957bcf3ce83a50868fd86cb3915a4",Article,"Final","",Scopus,2-s2.0-85107457860
"Han, W., Huang, J., Liang, W., Wang, C., Mével, R., Law, C.K.","49861304900;57207290750;55364159300;55711460100;25223791300;7201607381;","Unsteady propagation of detonation with multi-stage heat release",2021,"Fuel","296",,"120666","","",,5,"10.1016/j.fuel.2021.120666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105021731&doi=10.1016%2fj.fuel.2021.120666&partnerID=40&md5=c73ed4c158efe03b87a9a93041f34387",Article,"Final","",Scopus,2-s2.0-85105021731
"Mei, J., Zhou, Y., You, X., Law, C.K.","57072621500;57220582732;57205203705;7201607381;","Formation of nascent soot during very fuel-rich oxidation of ethylene at low temperatures",2021,"Combustion and Flame","226",,,"31","41",,3,"10.1016/j.combustflame.2020.11.031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097402129&doi=10.1016%2fj.combustflame.2020.11.031&partnerID=40&md5=f02b37f50db5194d813da5baf793e971",Article,"Final","",Scopus,2-s2.0-85097402129
"Dong, W., Liang, W., Law, C.K.","57221927747;55364159300;7201607381;","Kinetic study of two-stage lowerature heat release in isooctane autoignition",2021,"Journal of Physical Chemistry A","125","6",,"1374","1383",,1,"10.1021/acs.jpca.0c09287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100650816&doi=10.1021%2facs.jpca.0c09287&partnerID=40&md5=9dc2f157785424665114116196c46c5d",Article,"Final","",Scopus,2-s2.0-85100650816
