Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Littman, M.G., Gordis, E., Zhelnin, P., Arnold, J.","7006510459;58199859500;57355117200;57218794596;","Introducing quantum mechanics through its historical roots: The hydrogen Rydberg atom viewed through the lens of the old quantum theory",2023,"American Journal of Physics","91","5",,"371","378",,,"10.1119/5.0094860","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153798049&doi=10.1119%2f5.0094860&partnerID=40&md5=a5b3ac014a70fbee3bf3fb69b1089f0e",Article,"Final","",Scopus,2-s2.0-85153798049
"Littman, M.","7006510459;","Lessons from David Billington",2020,"Journal of the International Association for Shell and Spatial Structures","61","1",,"31","38",,,"10.20898/j.iass.2020.203.030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090395739&doi=10.20898%2fj.iass.2020.203.030&partnerID=40&md5=ec42ef767fa1399edf36bf42294780a8",Article,"Final","",Scopus,2-s2.0-85090395739
"Paya-Zaforteza, I., Eiben, C., Littman, M.","25960325400;57189463643;7006510459;","Discovering the role of engineering in the world: A new teaching experience focused on New York City and civil engineering",2015,"IABSE Conference, Geneva 2015: Structural Engineering: Providing Solutions to Global Challenges - Report",,,,"342","343",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971325833&partnerID=40&md5=8a315421f89870c697a04444280d17fb",Conference Paper,"Final","",Scopus,2-s2.0-84971325833
"Young, E.J., Kasdin, N.J., Carlotti, A., Littman, M., Noecker, M.C.","53867461400;35570628400;23484342500;7006510459;6603038632;","Speckle identification to assist the direct detection of exoplanets",2011,"Proceedings of SPIE - The International Society for Optical Engineering","8151",,"81511A","","",,1,"10.1117/12.893880","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053478069&doi=10.1117%2f12.893880&partnerID=40&md5=43dc81390c3e2300bbda8bdca58c76f2",Conference Paper,"Final","",Scopus,2-s2.0-80053478069
"Littman, M.G., Stern, L.E.","7006510459;36864411400;","A new understanding of the first electromagnetic machine: Joseph Henry's vibrating motor",2011,"American Journal of Physics","79","2",,"172","181",,,"10.1119/1.3531940","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79251526848&doi=10.1119%2f1.3531940&partnerID=40&md5=35e3c00d700aabed524aa54a858446e6",Article,"Final","",Scopus,2-s2.0-79251526848
"Paluszek, M.A., Mueller, J.B., Littman, M.G.","57205000010;8373177900;7006510459;","Optical navigation system",2010,"AIAA Infotech at Aerospace 2010",,,"2010-3462","","",,13,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650023379&partnerID=40&md5=9b8c10225f51af3ca65de8992a937e7a",Conference Paper,"Final","",Scopus,2-s2.0-78650023379
"Kasdin, N.J., Belikov, R., Beall, J., Vanderbei, R.J., Littman, M.G., Carr, M., Give'on, A.","35570628400;10739604000;7005336280;7003856031;7006510459;7202319998;6505919810;","Shaped pupil coronagraphs for planet finding: Optimization, manufacturing, and experimental results",2005,"Proceedings of SPIE - The International Society for Optical Engineering","5905",,"59050G","1","9",,17,"10.1117/12.617768","https://www.scopus.com/inward/record.uri?eid=2-s2.0-29844445104&doi=10.1117%2f12.617768&partnerID=40&md5=386db24f4499ae00a96425b2b593e077",Conference Paper,"Final","",Scopus,2-s2.0-29844445104
"Pueyo, L., Littman, M.G., Kasdin, J., Vanderbei, R., Belikov, R., Give'on, A.","6603586769;7006510459;35570628400;7003856031;10739604000;6505919810;","Chromaticity effects in adaptive optics; wavelength a dependence of amplitude compensation",2005,"Proceedings of SPIE - The International Society for Optical Engineering","5903",,"59030L","1","9",,3,"10.1117/12.617799","https://www.scopus.com/inward/record.uri?eid=2-s2.0-29844441157&doi=10.1117%2f12.617799&partnerID=40&md5=f57fcc46bf2949487c9ed9a0cd329d56",Conference Paper,"Final","",Scopus,2-s2.0-29844441157
"Kasdin, N.J., Vanderbei, R.J., Littman, M.G., Spergel, D.N.","35570628400;7003856031;7006510459;7007108870;","Optimal one-dimensional apodizations and shaped pupils for planet finding coronagraphy",2005,"Applied Optics","44","7",,"1117","1128",,58,"10.1364/AO.44.001117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-14844303308&doi=10.1364%2fAO.44.001117&partnerID=40&md5=8e71d2e5de8bf6bf16aa75969c0c1ce3",Article,"Final","",Scopus,2-s2.0-14844303308
"Belikov, R., Beall, J., Carr, M., Give'on, A., Kay, J., Kolade, T., Littman, M., Mycroft, F., Pueyo, L., Vanderbei, R.J., Kasdin, N.J.","10739604000;7005336280;7202319998;6505919810;24073294500;26427658200;7006510459;36770591100;6603586769;7003856031;35570628400;","Towards 1010 contrast for NASA's Terrestrial Planet Finder mission: Demonstration of high contrast in a shaped-pupil coronagraph at Princeton",2005,"Proceedings of the International Astronomical Union","1","C200",,"415","420",,4,"10.1017/S1743921306009689","https://www.scopus.com/inward/record.uri?eid=2-s2.0-63549120495&doi=10.1017%2fS1743921306009689&partnerID=40&md5=6bb2aeb05b7bac1241490fefdfb1d23f",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-63549120495
"Pueyo, L., Littman, M.G., Kasdin, J., Belikov, R., Give'on, A.","6603586769;7006510459;35570628400;10739604000;6505919810;","Chromatic behavior of amplitude and phase compensators",2005,"Proceedings of the International Astronomical Union","1","C200",,"435","439",,,"10.1017/S1743921306009720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-63549108165&doi=10.1017%2fS1743921306009720&partnerID=40&md5=ff3bcf020fd3351d816efa59e53fcd48",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-63549108165
"Kasdin, N.J., Vanderbei, R.J., Littman, M.G., Carr, M., Spergel, D.N.","35570628400;7003856031;7006510459;7202319998;7007108870;","The shaped pupil coronagraph for planet finding coronagraphy: Optimization, sensitivity, and laboratory testing",2004,"Proceedings of SPIE - The International Society for Optical Engineering","5487","PART 3",,"1312","1321",,13,"10.1117/12.552273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-10044274405&doi=10.1117%2f12.552273&partnerID=40&md5=8565015689583db276ac339af50fb5e9",Conference Paper,"Final","",Scopus,2-s2.0-10044274405
"Pueyo, L., Give'on, A., Littman, M.G., Kasdin, J., Vanderbei, R.","6603586769;6505919810;7006510459;35570628400;7003856031;","High dynamic range imaging, amplitude and phase control",2004,"Proceedings of SPIE - The International Society for Optical Engineering","5490","PART 2","92","545","553",,4,"10.1117/12.551956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-11144341914&doi=10.1117%2f12.551956&partnerID=40&md5=7ccb408b8c33985887202eab0be7d895",Conference Paper,"Final","",Scopus,2-s2.0-11144341914
"Kasdin, N.J., Brown, R.A., Burrows, C.J., Kilston, S., Kuchner, M., Littman, M.G., Noecker, M.C., Seager, S., Spergel, D.N., Turner, E.L., Traub, W.A., Vanderbei, R.J., Woodruff, R.A.","35570628400;57218977793;7202089034;56616299800;8106995800;7006510459;6603038632;35248931300;7007108870;7202447804;7102435748;7003856031;36803328200;","An optical/UV space coronagraph concept for the terrestrial planet finder",2004,"Advances in Space Research","34","3",,"625","630",,3,"10.1016/j.asr.2003.04.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042662137&doi=10.1016%2fj.asr.2003.04.039&partnerID=40&md5=7f54aa2d4604e174a6848069c22cac00",Article,"Final","",Scopus,2-s2.0-3042662137
"Lieber, M., Kilston, S., Kasdin, J., Vanderbei, R., Littman, M.","7202533995;56616299800;35570628400;7003856031;7006510459;","Evolving exosolar planet detection methods with lab experiments and integrated modeling: I. Modeling",2003,"Proceedings of SPIE - The International Society for Optical Engineering","5170",,,"66","78",,6,"10.1117/12.506404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2342586187&doi=10.1117%2f12.506404&partnerID=40&md5=a26823fc0e38cf04ff377c43fc1c98db",Conference Paper,"Final","",Scopus,2-s2.0-2342586187
"Pueyo, L., Littman, M.G., Carr, M., Kasdin, J., Spergel, D., Vanderbei, R.","6603586769;7006510459;7202319998;35570628400;7007108870;7003856031;","Amplitude and Phase Control of Pupil Coronagraph for Exo-planet Detection Using Spatial Light Modulators",2003,"Proceedings of SPIE - The International Society for Optical Engineering","5170",,,"241","249",,4,"10.1117/12.505612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2342522775&doi=10.1117%2f12.505612&partnerID=40&md5=e9f72e9d86bde7a6fa223b68784c4fa8",Conference Paper,"Final","",Scopus,2-s2.0-2342522775
"Kasdin, N.J., Littman, M.G., Giveon, A., Pueyo, L., Vanderbei, R.J., Spergel, D.N., Carr, H.","35570628400;7006510459;7004507041;6603586769;7003856031;7007108870;7005597559;","Optimal shaped pupils and wavefront control for planet finding coronagraphy",2003,"European Space Agency, (Special Publication) ESA SP",,"539",,"469","474",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-3142734512&partnerID=40&md5=22881f580bb7332727b660d8aabb0b22",Conference Paper,"Final","",Scopus,2-s2.0-3142734512
"Kasdin, N.J., Vanderbei, R.J., Spergel, D.N., Littman, M.G.","35570628400;7003856031;7007108870;7006510459;","Extrasolar planet finding via optimal apodized-pupil and shaped-pupil coronagraphs",2003,"Astrophysical Journal","582","2 I",,"1147","1161",,241,"10.1086/344751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141541177&doi=10.1086%2f344751&partnerID=40&md5=beeb29fd0da1e6efb3458061bf78c78a",Article,"Final","",Scopus,2-s2.0-0141541177
"Give'on, A., Kasdin, N.J., Vanderbei, R.J., Spergel, D.N., Littman, M.G., Gurfil, P.","6505919810;35570628400;7003856031;7007108870;7006510459;35561431900;","Feasible optimal deformable mirror shaping algorithm for high contrast imaging",2003,"Proceedings of SPIE - The International Society for Optical Engineering","5169",,,"288","297",,3,"10.1117/12.505222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842608589&doi=10.1117%2f12.505222&partnerID=40&md5=4c7f875a50eab544155f7aa05624b62e",Conference Paper,"Final","",Scopus,2-s2.0-1842608589
"Give'on, A., Kasdin, N.J., Vanderbei, R.J., Spergel, D.N., Littman, M.G., Gurfil, P.","6505919810;35570628400;7003856031;7007108870;7006510459;35561431900;","Stochastic optimal phase retrieval algorithm for high contrast imaging",2003,"Proceedings of SPIE - The International Society for Optical Engineering","5169",,,"276","287",,2,"10.1117/12.505211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842556329&doi=10.1117%2f12.505211&partnerID=40&md5=4b8cea27cebf4f43e519cd2021c00c10",Conference Paper,"Final","",Scopus,2-s2.0-1842556329
"Littman, M.G., Carr, M., Leighton, J., Burke, E., Spergel, D., Kasdin, J.","7006510459;7202319998;7101772499;7202857432;7007108870;35570628400;","Phase and amplitude control ability using spatial light modulators and zero length difference Michelson interferometer",2002,"Proceedings of SPIE - The International Society for Optical Engineering","4854",,,"405","412",,15,"10.1117/12.459813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038532313&doi=10.1117%2f12.459813&partnerID=40&md5=6a0c3a4f6e6cd541269ee1f7c8b847f5",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-0038532313
