Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Simon, N., Piqué, A., Snyder, D., Ikuma, K., Majumdar, A., Hultmark, M.","57901012200;57219390657;57193926903;57900808900;55325126200;22957764800;","Fast-response hot-wire flow sensors for wind and gust estimation on UAVs",2023,"Measurement Science and Technology","34","2","025109","","",,,"10.1088/1361-6501/ac9f5c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142434067&doi=10.1088%2f1361-6501%2fac9f5c&partnerID=40&md5=3f965baea8d9b2c246318c5e185107e2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85142434067
"Ho, M., Farid, A., Majumdar, A.","57478140600;57219298680;55325126200;","Towards a Framework for Comparing the Complexity of Robotic Tasks",2023,"Springer Proceedings in Advanced Robotics","25 SPAR",,,"273","293",,1,"10.1007/978-3-031-21090-7_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145175519&doi=10.1007%2f978-3-031-21090-7_17&partnerID=40&md5=21cbcfdda3ce42fa20ff63e64ce9d607",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85145175519
"Hsu, K.-C., Ren, A.Z., Nguyen, D.P., Majumdar, A., Fisac, J.F.","57200335117;57219793442;57425510500;55325126200;56692857500;","Sim-to-Lab-to-Real: Safe reinforcement learning with shielding and generalization guarantees",2023,"Artificial Intelligence","314",,"103811","","",,,"10.1016/j.artint.2022.103811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141678698&doi=10.1016%2fj.artint.2022.103811&partnerID=40&md5=5914e0db28aa5e63c60fdaae2c336730",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85141678698
"Ren, A.Z., Majumdar, A.","57219793442;55325126200;","Distributionally Robust Policy Learning via Adversarial Environment Generation",2022,"IEEE Robotics and Automation Letters","7","2",,"1379","1386",,,"10.1109/LRA.2021.3139949","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122566657&doi=10.1109%2fLRA.2021.3139949&partnerID=40&md5=ae1f7b9de305d7e54cf63a2b91bab786",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85122566657
"Pacelli, V., Majumdar, A.","57200627325;55325126200;","Robust Control Under Uncertainty via Bounded Rationality and Differential Privacy",2022,"Proceedings - IEEE International Conference on Robotics and Automation",,,,"3467","3474",,,"10.1109/ICRA46639.2022.9811557","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136333048&doi=10.1109%2fICRA46639.2022.9811557&partnerID=40&md5=34e21cd6ff704835eca429d25b74beb9",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85136333048
"Agarwal, A., Veer, S., Ren, A.Z., Majumdar, A.","57351426500;56458744000;57219793442;55325126200;","Stronger Generalization Guarantees for Robot Learning by Combining Generative Models and Real-World Data",2022,"Proceedings - IEEE International Conference on Robotics and Automation",,,,"4414","4421",,,"10.1109/ICRA46639.2022.9811565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136319915&doi=10.1109%2fICRA46639.2022.9811565&partnerID=40&md5=cc6ad72fad874193b8254cb354c6c9e2",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85136319915
"Majumdar, A., Farid, A., Sonar, A.","55325126200;57219298680;57219295257;","PAC-Bayes control: learning policies that provably generalize to novel environments",2021,"International Journal of Robotics Research","40","2-3",,"574","593",,5,"10.1177/0278364920959444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092087418&doi=10.1177%2f0278364920959444&partnerID=40&md5=590eb606a650ebd0f7a2e5393d0183b8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85092087418
"Farid, A., Majumdar, A.","57219298680;55325126200;","Generalization Bounds for Meta-Learning via PAC-Bayes and Uniform Stability",2021,"Advances in Neural Information Processing Systems","3",,,"2173","2186",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126930439&partnerID=40&md5=f70f91af1415b7d7cbe20f3fc65025ec",Conference Paper,"Final","",Scopus,2-s2.0-85126930439
"Majumdar, A., Hall, G., Ahmadi, A.A.","55325126200;57146127700;15128458300;","Recent Scalability Improvements for Semidefinite Programming with Applications in Machine Learning, Control, and Robotics",2020,"Annual Review of Control, Robotics, and Autonomous Systems","3",,,"331","360",,33,"10.1146/annurev-control-091819-074326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090423510&doi=10.1146%2fannurev-control-091819-074326&partnerID=40&md5=0f7f217bceef447bc566fcf986e7035a",Review,"Final","",Scopus,2-s2.0-85090423510
"Pacelli, V., Majumdar, A.","57200627325;55325126200;","Learning Task-Driven Control Policies via Information Bottlenecks",2020,"Robotics: Science and Systems",,,,"","",10,1,"10.15607/RSS.2020.XVI.101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127987353&doi=10.15607%2fRSS.2020.XVI.101&partnerID=40&md5=6d6f5aa2e7f1e8306b17147cf9e01e56",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85127987353
"Majumdar, A., Pavone, M.","55325126200;12240587200;","How Should a Robot Assess Risk? Towards an Axiomatic Theory of Risk in Robotics",2020,"Springer Proceedings in Advanced Robotics","10",,,"75","84",,60,"10.1007/978-3-030-28619-4_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107062766&doi=10.1007%2f978-3-030-28619-4_10&partnerID=40&md5=1bdbf5a286ddbf20f6c408e775541dae",Book Chapter,"Final","All Open Access, Green",Scopus,2-s2.0-85107062766
