Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Lohry, M.W., Martinelli, L.","36676515700;7102366227;","Discontinuous Galerkin Implicit Large Eddy Simulation of Tandem Spheres and the High-Lift Common Research Model",2022,"AIAA Science and Technology Forum and Exposition, AIAA SciTech Forum 2022",,,"AIAA 2022-1375","","",,1,"10.2514/6.2022-1375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123640832&doi=10.2514%2f6.2022-1375&partnerID=40&md5=44878235d2898199180b47873435f464",Conference Paper,"Final","",Scopus,2-s2.0-85123640832
"Lohry, M.W., Martinelli, L.","36676515700;7102366227;","On the development, verification, and validation of a discontinuous Galerkin solver for the Navier–Stokes equations",2021,"Computers and Fluids","223",,"104921","","",,1,"10.1016/j.compfluid.2021.104921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103777049&doi=10.1016%2fj.compfluid.2021.104921&partnerID=40&md5=06e2fbd492c2cd1dff8aabf7264b0861",Article,"Final","",Scopus,2-s2.0-85103777049
"Hohman, T.C., Martinelli, L., Smits, A.J.","57192943026;7102366227;7102735299;","The effect of blade geometry on the structure of vertical axis wind turbine wakes",2020,"Journal of Wind Engineering and Industrial Aerodynamics","207",,"104328","","",,13,"10.1016/j.jweia.2020.104328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092082364&doi=10.1016%2fj.jweia.2020.104328&partnerID=40&md5=65091bff2ffc3010c80ce80408ca75a5",Article,"Final","",Scopus,2-s2.0-85092082364
"Martinelli, L., Lohry, M.W.","7102366227;36676515700;","Implicit time integration of discontinuous galerkin approximations to the navier-stokes equations",2020,"AIAA Scitech 2020 Forum","1 PartF",,,"","",,5,"10.2514/6.2020-0774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091952352&doi=10.2514%2f6.2020-0774&partnerID=40&md5=e77c922b9528eadc59da2ad5e63565f1",Conference Paper,"Final","",Scopus,2-s2.0-85091952352
"Dzanic, T., Martinelli, L.","57209879248;7102366227;","Higher-order implicit large eddy simulations of a VFE-2 delta wing",2019,"AIAA Scitech 2019 Forum",,,,"","",,1,"10.2514/6.2019-0276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083942755&doi=10.2514%2f6.2019-0276&partnerID=40&md5=e3d1bb93f0b54a0110796a20154133bc",Conference Paper,"Final","",Scopus,2-s2.0-85083942755
"Hohman, T.C., Martinelli, L., Smits, A.J.","57192943026;7102366227;7102735299;","The effects of inflow conditions on vertical axis wind turbine wake structure and performance",2018,"Journal of Wind Engineering and Industrial Aerodynamics","183",,,"1","18",,29,"10.1016/j.jweia.2018.10.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055054547&doi=10.1016%2fj.jweia.2018.10.002&partnerID=40&md5=c4734e32be8710099bc7bd94d4c1163f",Article,"Final","",Scopus,2-s2.0-85055054547
"Hezaveh, S.H., Bou-Zeid, E., Dabiri, J., Kinzel, M., Cortina, G., Martinelli, L.","57191441466;6603009057;6602215129;15059009400;57191090187;7102366227;","Increasing the Power Production of Vertical-Axis Wind-Turbine Farms Using Synergistic Clustering",2018,"Boundary-Layer Meteorology","169","2",,"275","296",,45,"10.1007/s10546-018-0368-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049601406&doi=10.1007%2fs10546-018-0368-0&partnerID=40&md5=5fda1fd16dbb6e7a5a3258a615487e43",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85049601406
"Hezaveh, S.H., Bou-Zeid, E., Lohry, M.W., Martinelli, L.","57191441466;6603009057;36676515700;7102366227;","Simulation and wake analysis of a single vertical axis wind turbine",2017,"Wind Energy","20","4",,"713","730",,40,"10.1002/we.2056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990243025&doi=10.1002%2fwe.2056&partnerID=40&md5=2e4b6ee9d83e4697d40ce38087ce551a",Article,"Final","",Scopus,2-s2.0-84990243025
"Degennaro, A.M., Lohry, M.W., Martinelli, L., Rowley, C.W.","55543486900;36676515700;7102366227;35515725200;","Uncertainty quantification for cargo hold fires",2016,"57th AIAA/ASCE/AHS/ASC Structures, Structural Dynamics, and Materials Conference",,,,"","",10,,"10.2514/6.2016-1419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088353144&doi=10.2514%2f6.2016-1419&partnerID=40&md5=57eb822a52bbff56b4b9023f1c96fe2b",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85088353144
"Lohry, M.W., Martinelli, L.","36676515700;7102366227;","Unsteady reynolds-averaged navier-stokes simulation of crossflow rotors, scaling, and blockage effects",2016,"AIAA Journal","54","12",,"3828","3839",,12,"10.2514/1.J055069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003510903&doi=10.2514%2f1.J055069&partnerID=40&md5=f4e8131adcc50efff1fbebab1048fb2f",Article,"Final","",Scopus,2-s2.0-85003510903
