Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Hassanaly, M., Perry, B.A., Mueller, M.E., Yellapantula, S.","54398660100;57189512220;7402452551;57190858608;","Uniform-in-phase-space data selection with iterative normalizing flows",2023,"Data-Centric Engineering","4","7","e11","","",,,"10.1017/dce.2023.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158161062&doi=10.1017%2fdce.2023.4&partnerID=40&md5=1a917b30e1a6b0fbebb450ca3586e239",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85158161062
"Lee, J., Mueller, M.E.","57215204890;7402452551;","Closure modeling for the conditional pressure gradient in turbulent premixed combustion",2023,"Combustion and Flame","250",,"112661","","",,,"10.1016/j.combustflame.2023.112661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150353621&doi=10.1016%2fj.combustflame.2023.112661&partnerID=40&md5=33bf2a5e74d75560b16e933e7d208604",Article,"Final","",Scopus,2-s2.0-85150353621
"Klemmer, K.S., Wu, W., Mueller, M.E.","57204686842;57753327700;7402452551;","Turbulence model form errors in separated flows",2023,"Physical Review Fluids","8","2","024606","","",,,"10.1103/PhysRevFluids.8.024606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149643574&doi=10.1103%2fPhysRevFluids.8.024606&partnerID=40&md5=5a132df14c3cb0dac63eae53b266d656",Article,"Final","",Scopus,2-s2.0-85149643574
"Taunay, P.-Y.C.R., Mueller, M.E.","56941003900;7402452551;","Quadrature-based moment methods for kinetic plasma simulations",2023,"Journal of Computational Physics","473",,"111700","","",,,"10.1016/j.jcp.2022.111700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141328602&doi=10.1016%2fj.jcp.2022.111700&partnerID=40&md5=bdbec595eae525d1367175aedd802ffa",Article,"Final","",Scopus,2-s2.0-85141328602
"Maldonado Colmán, H., Attili, A., Mueller, M.E.","57362627100;36597809400;7402452551;","Large Eddy Simulation of turbulent nonpremixed sooting flames: Presumed subfilter PDF model for finite-rate oxidation of soot",2023,"Combustion and Flame",,,"112602","","",,,"10.1016/j.combustflame.2022.112602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146069938&doi=10.1016%2fj.combustflame.2022.112602&partnerID=40&md5=3da804c601f57ef937d917b582864aaa",Article,"Article in Press","All Open Access, Green",Scopus,2-s2.0-85146069938
"Aiyer, A.K., Deike, L., Mueller, M.E.","57219628689;53979713400;7402452551;","A Sea Surface-Based Drag Model for Large-Eddy Simulation of Wind-Wave Interaction",2023,"Journal of the Atmospheric Sciences","80","1",,"49","62",,,"10.1175/JAS-D-21-0329.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145435664&doi=10.1175%2fJAS-D-21-0329.1&partnerID=40&md5=071d6a14a4f0d18b9bb7edf0aeadda0e",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85145435664
"Huo, Z., Cleary, M.J., Masri, A.R., Mueller, M.E.","57201946737;21742016300;7006965690;7402452551;","A coupled MMC-LES and sectional kinetic scheme for soot formation in a turbulent flame",2022,"Combustion and Flame","241",,"112089","","",,4,"10.1016/j.combustflame.2022.112089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126837127&doi=10.1016%2fj.combustflame.2022.112089&partnerID=40&md5=0647f353215ea30a8785aea609e190ac",Article,"Final","",Scopus,2-s2.0-85126837127
"Aiyer, A.K., Deike, L., Mueller, M.E.","57219628689;53979713400;7402452551;","A wall-modeled approach accounting for wave stress in Large Eddy Simulations of offshore wind farms",2022,"Journal of Physics: Conference Series","2265","2","022013","","",,,"10.1088/1742-6596/2265/2/022013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131868540&doi=10.1088%2f1742-6596%2f2265%2f2%2f022013&partnerID=40&md5=c5877fbf78b7b408f841c11647c43466",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85131868540
"Duvvuri, P.P., Colmán, H.M., Mueller, M.E.","56453211300;57920286900;7402452551;","Relative influence of soot oxidation kinetics and subfilter soot-turbulence interactions on soot evolution in turbulent nonpremixed flames",2022,"Proceedings of the Combustion Institute",,,,"","",,1,"10.1016/j.proci.2022.08.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139490004&doi=10.1016%2fj.proci.2022.08.009&partnerID=40&md5=98244f03ca5d594c1b7d388561bf6351",Article,"Article in Press","",Scopus,2-s2.0-85139490004
"D'Alessio, G., Sundaresan, S., Mueller, M.E.","57225386220;7102152364;7402452551;","Automated and efficient local adaptive regression for principal component-based reduced-order modeling of turbulent reacting flows",2022,"Proceedings of the Combustion Institute",,,,"","",,1,"10.1016/j.proci.2022.07.235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138738658&doi=10.1016%2fj.proci.2022.07.235&partnerID=40&md5=435d624b839a8b79bbe5132d5b6f6e3d",Article,"Article in Press","",Scopus,2-s2.0-85138738658
"Maldonado Colmán, H., Duvvuri, P.P., Mueller, M.E.","57362627100;56453211300;7402452551;","Large eddy simulation of soot evolution in turbulent nonpremixed bluff body flames",2022,"Proceedings of the Combustion Institute",,,,"","",,,"10.1016/j.proci.2022.07.142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138714471&doi=10.1016%2fj.proci.2022.07.142&partnerID=40&md5=6670a75cd4798a4c104be5dbdb052814",Article,"Article in Press","",Scopus,2-s2.0-85138714471
"Novoselov, A.G., Perry, B.A., Mueller, M.E.","57202649714;57189512220;7402452551;","Two-dimensional manifold equations for multi-modal turbulent combustion: Nonpremixed combustion limit and scalar dissipation rates",2021,"Combustion and Flame","231",,"111475","","",,2,"10.1016/j.combustflame.2021.111475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105318612&doi=10.1016%2fj.combustflame.2021.111475&partnerID=40&md5=25855cb2529fec45f84531863d0be3a1",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85105318612
"Klemmer, K.S., Mueller, M.E.","57204686842;7402452551;","Implied models approach for turbulence model form physics-based uncertainty quantification",2021,"Physical Review Fluids","6","4","044606","","",,3,"10.1103/PhysRevFluids.6.044606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104870312&doi=10.1103%2fPhysRevFluids.6.044606&partnerID=40&md5=3abf9557a237178e2400fcc6827e8842",Article,"Final","",Scopus,2-s2.0-85104870312
"Macart, J.F., Mueller, M.E.","57189507271;7402452551;","Damköhler number scaling of active cascade effects in turbulent premixed combustion",2021,"Physics of Fluids","33","3","035103","","",,5,"10.1063/5.0039119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101958909&doi=10.1063%2f5.0039119&partnerID=40&md5=0397c4ab609fdc815aed1249a2b421fb",Article,"Final","",Scopus,2-s2.0-85101958909
"Berger, L., Wick, A., Attili, A., Mueller, M.E., Pitsch, H.","56594405800;56347065000;36597809400;7402452551;7003265812;","Modeling subfilter soot-turbulence interactions in Large Eddy Simulation: An a priori study",2021,"Proceedings of the Combustion Institute","38","2",,"2783","2790",,4,"10.1016/j.proci.2020.06.386","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097388858&doi=10.1016%2fj.proci.2020.06.386&partnerID=40&md5=33abef8e4866cf55ec5dafb7538cdb08",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85097388858
"Lee, J., Mueller, M.E.","57215204890;7402452551;","Closure modeling for the conditional Reynolds stresses in turbulent premixed combustion",2021,"Proceedings of the Combustion Institute","38","2",,"3031","3038",,7,"10.1016/j.proci.2020.07.046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091482374&doi=10.1016%2fj.proci.2020.07.046&partnerID=40&md5=a5e0ace28c04e057ccfef65821043946",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85091482374
"Lacey, C.E., Novoselov, A.G., Mueller, M.E.","57218854777;57202649714;7402452551;","In-Situ Adaptive Manifolds: Enabling computationally efficient simulations of complex turbulent reacting flows",2021,"Proceedings of the Combustion Institute","38","2",,"2673","2680",,4,"10.1016/j.proci.2020.06.207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090473844&doi=10.1016%2fj.proci.2020.06.207&partnerID=40&md5=6a1f543f9e3334db64a34636f6da6fa1",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85090473844
"Novoselov, A.G., Lacey, C.E., Perry, B.A., Mueller, M.E.","57202649714;57218854777;57189512220;7402452551;","Large Eddy Simulation of a turbulent lifted flame using multi-modal manifold-based models: Feasibility and interpretability",2021,"Proceedings of the Combustion Institute","38","2",,"2581","2588",,3,"10.1016/j.proci.2020.06.217","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090441147&doi=10.1016%2fj.proci.2020.06.217&partnerID=40&md5=c5f2c4166b1434e840045db4668f1216",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85090441147
"Klemmer, K.S., Mueller, M.E.","57204686842;7402452551;","Hierarchical model form uncertainty quantification for turbulent combustion modeling",2020,"Combustion and Flame","221",,,"288","295",,1,"10.1016/j.combustflame.2020.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089484280&doi=10.1016%2fj.combustflame.2020.08.002&partnerID=40&md5=fec8f7f12a36ae197fd071d70eee1dde",Article,"Final","",Scopus,2-s2.0-85089484280
"Yang, S., Lew, J.K., Mueller, M.E.","56911262500;57189505765;7402452551;","Large Eddy Simulation of soot evolution in turbulent reacting flows: Strain-Sensitive Transport Approach for Polycyclic Aromatic Hydrocarbons",2020,"Combustion and Flame","220",,,"219","234",,5,"10.1016/j.combustflame.2020.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087943303&doi=10.1016%2fj.combustflame.2020.07.008&partnerID=40&md5=e42c94f39897f2fe347148438696f022",Article,"Final","",Scopus,2-s2.0-85087943303
"Lee, J., MacArt, J.F., Mueller, M.E.","57215204890;57189507271;7402452551;","Heat release effects on the Reynolds stress budgets in turbulent premixed jet flames at low and high Karlovitz numbers",2020,"Combustion and Flame","216",,,"1","8",,10,"10.1016/j.combustflame.2020.02.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080078455&doi=10.1016%2fj.combustflame.2020.02.014&partnerID=40&md5=877fb78bffe3c81d285fdf80b2adc811",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85080078455
"Mueller, M.E.","7402452551;","Physically-derived reduced-order manifold-based modeling for multi-modal turbulent combustion",2020,"Combustion and Flame","214",,,"287","305",,16,"10.1016/j.combustflame.2020.01.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078559548&doi=10.1016%2fj.combustflame.2020.01.004&partnerID=40&md5=77c17ee2e05342dcac05aadb5b1abc51",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85078559548
"Grenga, T., Mueller, M.E.","56113409400;7402452551;","Dynamic mode decomposition: A tool to extract structures hidden in massive datasets",2020,"Data Analysis for Direct Numerical Simulations of Turbulent Combustion: From Equation-Based Analysis to Machine Learning",,,,"157","176",,2,"10.1007/978-3-030-44718-2_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089327824&doi=10.1007%2f978-3-030-44718-2_8&partnerID=40&md5=2fccb1c7c65164815a3330488785966d",Book Chapter,"Final","",Scopus,2-s2.0-85089327824
