Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"McCreery, H.F., Gemayel, G., Pais, A.I., Garnier, S., Nagpal, R.","55357838500;57479480300;57479201300;13006090300;15058177400;","Hysteresis stabilizes dynamic control of self-assembled army ant constructions",2022,"Nature Communications","13","1","1160","","",,4,"10.1038/s41467-022-28773-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125838407&doi=10.1038%2fs41467-022-28773-z&partnerID=40&md5=e3220ed3221d8371103202651fb69085",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85125838407
"Berlinger, F., Ebert, J.T., Nagpal, R.","57206668623;57204107774;15058177400;","Impressionist Algorithms for Autonomous Multi-Robot Systems: Flocking as a Case Study",2022,"IEEE International Conference on Intelligent Robots and Systems","2022-October",,,"11562","11569",,,"10.1109/IROS47612.2022.9981448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146351150&doi=10.1109%2fIROS47612.2022.9981448&partnerID=40&md5=d923d4c7d8dc3549699bfb5df9870d6c",Conference Paper,"Final","",Scopus,2-s2.0-85146351150
"Ebert, J.T., Berlinger, F., Haghighat, B., Nagpal, R.","57204107774;57206668623;56334989700;15058177400;","A Hybrid PSO Algorithm for Multi-robot Target Search and Decision Awareness",2022,"IEEE International Conference on Intelligent Robots and Systems","2022-October",,,"11520","11527",,,"10.1109/IROS47612.2022.9982022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146338764&doi=10.1109%2fIROS47612.2022.9982022&partnerID=40&md5=a978bde356cc85c1fd517983f3ef5f0b",Conference Paper,"Final","",Scopus,2-s2.0-85146338764
"Haghighat, B., Boghaert, J., Minsky-Primus, Z., Ebert, J., Liu, F., Nisser, M., Ekblaw, A., Nagpal, R.","56334989700;57982349600;57983991100;57204107774;57982349700;57192431608;57191583173;15058177400;","An Approach Based on Particle Swarm Optimization for Inspection of Spacecraft Hulls by a Swarm of Miniaturized Robots",2022,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13491 LNCS",,,"14","27",,,"10.1007/978-3-031-20176-9_2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142734675&doi=10.1007%2f978-3-031-20176-9_2&partnerID=40&md5=2170926d80d9d96c41f07e25a5398e77",Conference Paper,"Final","",Scopus,2-s2.0-85142734675
"Gonzalez, E., Houel, L., Nagpal, R., Malley, M.","57807618700;57806828700;15058177400;57195423489;","Influencing Emergent Self-Assembled Structures in Robotic Collectives Through Traffic Control",2022,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS","3",,,"1601","1603",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134355851&partnerID=40&md5=d2caa07f6e980d7440432f5bbaf41ae5",Conference Paper,"Final","",Scopus,2-s2.0-85134355851
"Saadat, M., Berlinger, F., Sheshmani, A., Nagpal, R., Lauder, G.V., Haj-Hariri, H.","55428912500;57206668623;23092286300;15058177400;7005105910;6701539908;","Hydrodynamic advantages of in-line schooling",2021,"Bioinspiration and Biomimetics","16","4","046002","","",,13,"10.1088/1748-3190/abe137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106540732&doi=10.1088%2f1748-3190%2fabe137&partnerID=40&md5=526da8bcdf182a793660d7a318963c55",Article,"Final","",Scopus,2-s2.0-85106540732
"Carey, N.E., Bardunias, P., Nagpal, R., Werfel, J.","57200886286;6506735305;15058177400;57200279406;","Validating a Termite-Inspired Construction Coordination Mechanism Using an Autonomous Robot",2021,"Frontiers in Robotics and AI","8",,"645728","","",,,"10.3389/frobt.2021.645728","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105506309&doi=10.3389%2ffrobt.2021.645728&partnerID=40&md5=55bce5592221723511ea4cf1a3241c55",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85105506309
"Berlinger, F., Saadat, M., Haj-Hariri, H., Lauder, G.V., Nagpal, R.","57206668623;55428912500;6701539908;7005105910;15058177400;","Fish-like three-dimensional swimming with an autonomous, multi-fin, and biomimetic robot",2021,"Bioinspiration and Biomimetics","16","2","026018","","",,16,"10.1088/1748-3190/abd013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101157477&doi=10.1088%2f1748-3190%2fabd013&partnerID=40&md5=351f438019b0c9c8a3ed838793306ef9",Article,"Final","",Scopus,2-s2.0-85101157477
"Berlinger, F., Wulkop, P., Nagpal, R.","57206668623;57204103392;15058177400;","Self-Organized Evasive Fountain Maneuvers with a Bioinspired Underwater Robot Collective",2021,"Proceedings - IEEE International Conference on Robotics and Automation","2021-May",,,"9204","9211",,3,"10.1109/ICRA48506.2021.9561407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125455499&doi=10.1109%2fICRA48506.2021.9561407&partnerID=40&md5=26aa52ac815b35a16839466053301ad0",Conference Paper,"Final","",Scopus,2-s2.0-85125455499
"Berlinger, F., Gauci, M., Nagpal, R.","57206668623;55157802900;15058177400;","Implicit coordination for 3D underwater collective behaviors in a fish-inspired robot swarm",2021,"Science Robotics","6","50","eabd8668","","",,61,"10.1126/SCIROBOTICS.ABD8668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100813441&doi=10.1126%2fSCIROBOTICS.ABD8668&partnerID=40&md5=12f282273e81ecdb976c937c2b99a4b6",Article,"Final","",Scopus,2-s2.0-85100813441
