Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Nosenchuck, Daniel","6602768696;","Global engineering design",1998,"ASEE Annual Conference Proceedings",,,,"","",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032291868&partnerID=40&md5=7e6504f7f10b91f58f2e373d2f72eecc",Conference Paper,"Final","",Scopus,2-s2.0-0032291868
"Nosenchuck, Daniel M.","6602768696;","Parameterized memory/processor optimizing FORTRAN compiler for parallel computers",1992,"Proccedings of the Scalable High Performance Computing Conference-SHPCC-92",,,,"204","207",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027001566&partnerID=40&md5=5dd4d79fe1953943cfb65176e3cd278b",Conference Paper,"Final","",Scopus,2-s2.0-0027001566
"Anderson, D.M., Nosenchuck, D.M., Reynolds, G.T., Walton, A.J.","7410018378;6602768696;7201487821;7102793329;","Mechanical stimulation of bioluminescence in the dinoflagellate Gonyaulax polyedra Stein",1988,"Journal of Experimental Marine Biology and Ecology","122","3",,"277","288",,29,"10.1016/0022-0981(88)90128-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38249028460&doi=10.1016%2f0022-0981%2888%2990128-1&partnerID=40&md5=8840467447517c59402daf79191c51af",Article,"Final","",Scopus,2-s2.0-38249028460
"Hayder, M.E., Flannery, W.S., Littman, M.G., Nosenchuck, D.M., Orszag, S.A.","6602682073;6602693531;7006510459;6602768696;7006963797;","Large-scale urbulence simulation on the Navier-Stokes computer",1988,"Computers and Structures","30","1-2",,"357","364",,4,"10.1016/0045-7949(88)90241-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38249029797&doi=10.1016%2f0045-7949%2888%2990241-6&partnerID=40&md5=49b8e13121224ab1bffbe30318ad43af",Article,"Final","",Scopus,2-s2.0-38249029797
"Nosenchuck, D.M., Lynch, M.K., Stratton, J.P.","6602768696;7401593085;7102272288;","ACTIVE CONTROL OF SUBLAYER DISTURBANCES USING AN ARRAY OF HEATING-ELEMENTS.",1987,,"2",,,"619","627",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023246120&partnerID=40&md5=74390d57461c0e825b012e59dfe8504b",Conference Paper,"Final","",Scopus,2-s2.0-0023246120
"Nosenchuck, D.M., Littman, M.G.","6602768696;7006510459;","NAVIER-STOKES COMPUTER.",1986,"American Society of Mechanical Engineers, Applied Mechanics Division, AMD","75",,,"429","445",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022935222&partnerID=40&md5=ffa7fec17b2d6657f689636570c4ebd5",Conference Paper,"Final","",Scopus,2-s2.0-0022935222
"Nosenchuck, D.M., Littman, M.G., Flannery, W.","6602768696;7006510459;6602693531;","Two-dimensional nonsteady viscous flow simulation on the Navier-Stokes Computer miniNode",1986,"Journal of Scientific Computing","1","1",,"53","73",,2,"10.1007/BF01061453","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022958307&doi=10.1007%2fBF01061453&partnerID=40&md5=17d16c9c3f3571a01b603c4ddfd410db",Article,"Final","",Scopus,2-s2.0-0022958307
"Nosenchuck, D.M., Lynch, M.K.","6602768696;7401593085;","Three-dimensional flow visualization using laser-sheet scanning.",1986,,,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096888929&partnerID=40&md5=834995a3695c00ff7fa043bc592de8e1",Article,"Final","",Scopus,2-s2.0-85096888929
"Nosenchuck, D.M., Lynch, M.K.","6602768696;7401593085;","Three-dimensional flow visualization using laser-sheet scanning.",1986,,,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096883979&partnerID=40&md5=edb1df1d40bf5477e0ba63bef8773f3f",Article,"Final","",Scopus,2-s2.0-85096883979
"Nosenchuck, D.M., Lynch, M.K.","6602768696;7401593085;","ACTIVE CONTROL OF LOW-SPEED STREAK BURSTING IN TURBULENT SPOTS.",1985,"AIAA Paper",,,,"","",8,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021794678&partnerID=40&md5=71d48e402c73e72bba9f638889c414a1",Conference Paper,"Final","",Scopus,2-s2.0-0021794678
"Liepmann, H.W., Brown, G.L., Nosenchuck, D.M.","6701691456;57225703321;6602768696;","Control of laminar-instability waves using a new technique",1982,"Journal of Fluid Mechanics","118",,,"187","200",,139,"10.1017/S0022112082001025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020126971&doi=10.1017%2fS0022112082001025&partnerID=40&md5=199a6185c5bb4b41168f0653fa5d46a6",Article,"Final","All Open Access, Green",Scopus,2-s2.0-0020126971
"Liepmann, H.W., Nosenchuck, D.M.","6701691456;6602768696;","Active control of laminar-turbulent transition",1982,"Journal of Fluid Mechanics","118",,,"201","204",,113,"10.1017/S0022112082001037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020125458&doi=10.1017%2fS0022112082001037&partnerID=40&md5=044245f64bc12e18d1ba3a2340ef30a7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-0020125458
