Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Otto, S.E., Rowley, C.W.","57217794391;35515725200;","Inadequacy of Linear Methods for Minimal Sensor Placement and Feature Selection in Nonlinear Systems: A New Approach Using Secants",2022,"Journal of Nonlinear Science","32","5","69","","",,2,"10.1007/s00332-022-09806-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135636852&doi=10.1007%2fs00332-022-09806-9&partnerID=40&md5=8656df80fab30fca6dd7cf5250d03a04",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85135636852
"Wu, W., Meneveau, C., Mittal, R., Padovan, A., Rowley, C.W., Cattafesta, L.","57753327700;7006046344;7202559995;57218710463;35515725200;6603764938;","Response of a turbulent separation bubble to zero-net-mass-flux jet perturbations",2022,"Physical Review Fluids","7","8","084601","","",,,"10.1103/PhysRevFluids.7.084601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137265928&doi=10.1103%2fPhysRevFluids.7.084601&partnerID=40&md5=22fe8271eb016b9f1105f588d2e60fd8",Article,"Final","",Scopus,2-s2.0-85137265928
"Padovan, A., Rowley, C.W.","57218710463;35515725200;","Analysis of the dynamics of subharmonic flow structures via the harmonic resolvent: Application to vortex pairing in an axisymmetric jet",2022,"Physical Review Fluids","7","7","073903","","",,,"10.1103/PhysRevFluids.7.073903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134887445&doi=10.1103%2fPhysRevFluids.7.073903&partnerID=40&md5=b299f442d175d18ba03c04f5a7ea1d93",Article,"Final","",Scopus,2-s2.0-85134887445
"Carruth, J., Eggl, M.F., Fefferman, C., Rowley, C.W., Weber, M.","57219497512;57201983678;6701495570;35515725200;57195473864;","Controlling unknown linear dynamics with bounded multiplicative regret",2022,"Revista Matematica Iberoamericana","38","7",,"2185","2216",,,"10.4171/RMI/1377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149220017&doi=10.4171%2fRMI%2f1377&partnerID=40&md5=b4b5dce84d8c007143f32e4394f78c42",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85149220017
"Otto, S.E., Padovan, A., Rowley, C.W.","57217794391;57218710463;35515725200;","OPTIMIZING OBLIQUE PROJECTIONS FOR NONLINEAR SYSTEMS USING TRAJECTORIES",2022,"SIAM Journal on Scientific Computing","44","3",,"A1681","A1702",,,"10.1137/21M1425815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135236109&doi=10.1137%2f21M1425815&partnerID=40&md5=8cbf2c78701753e4fae259e7ea0674ed",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85135236109
"Fefferman, C.L., Pegueroles, B.G., Rowley, C.W., Weber, M.","6701495570;57210822461;35515725200;57195473864;","Optimal control with learning on the fly: A toy problem",2022,"Revista Matematica Iberoamericana","38","1",,"175","187",,1,"10.4171/RMI/1275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125189236&doi=10.4171%2fRMI%2f1275&partnerID=40&md5=249af02f64024c4038be2f82ea7e7e76",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85125189236
"An, X., Floryan, D., Rowley, C.W.","56486896500;55516603300;35515725200;","Optimization of Swimming Gaits for Propulsive Efficiency",2022,"AIAA Science and Technology Forum and Exposition, AIAA SciTech Forum 2022",,,"AIAA 2022-0329","","",,,"10.2514/6.2022-0329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122929416&doi=10.2514%2f6.2022-0329&partnerID=40&md5=9c8723daee6fd945fe4ce92be24a8b85",Conference Paper,"Final","",Scopus,2-s2.0-85122929416
"Otto, S.E., Rowley, C.W.","57217794391;35515725200;","Koopman Operators for Estimation and Control of Dynamical Systems",2021,"Annual Review of Control, Robotics, and Autonomous Systems","4",,,"59","87",,24,"10.1146/annurev-control-071020-010108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102124126&doi=10.1146%2fannurev-control-071020-010108&partnerID=40&md5=9723a86a7ef3ecc9a7b4b396e6b28d90",Review,"Final","",Scopus,2-s2.0-85102124126
"An, X., Floryan, D., Rowley, C.W.","56486896500;55516603300;35515725200;","Optimal gaits of fish-like swimming",2021,"AIAA Scitech 2021 Forum",,,,"1","11",,1,"10.2514/6.2021-1083","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100287765&doi=10.2514%2f6.2021-1083&partnerID=40&md5=aee3ba721f070d5efd6fd86368237395",Conference Paper,"Final","",Scopus,2-s2.0-85100287765
"Pogorelyuk, L., Rowley, C.W., Kasdin, N.J.","56295087700;35515725200;35570628400;","An efficient approximation of the Kalman filter for multiple systems coupled via low-dimensional stochastic input",2020,"Automatica","117",,"108972","","",,2,"10.1016/j.automatica.2020.108972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082696639&doi=10.1016%2fj.automatica.2020.108972&partnerID=40&md5=1acbb2f6726ebe7d34a0c6107c8a76af",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85082696639
"Dutta, S., Djabrayan, N.J.-V., Smits, C.M., Rowley, C.W., Shvartsman, S.Y.","57210546857;35956102600;57203538093;35515725200;7003816437;","Excess dNTPs Trigger Oscillatory Surface Flow in the Early Drosophila Embryo",2020,"Biophysical Journal","118","10",,"2349","2353",,1,"10.1016/j.bpj.2020.03.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082651756&doi=10.1016%2fj.bpj.2020.03.010&partnerID=40&md5=90df662c65b9038abad0c1cea76ccbfa",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85082651756
"Taira, K., Brunton, S.L., Dawson, S.T.M., Rowley, C.W., Colonius, T., McKeon, B.J., Schmidt, O.T., Gordeyev, S., Theofilis, V., Ukeiley, L.S.","18042919100;36024889600;56376107100;35515725200;7004086046;6701372729;57190757609;6603666281;6604003287;6701394463;","Correction: Modal analysis of fluid flows: An overview (AIAA Journal, (2017), 55, 12, (4013-4041), 10.2514/1.J056060)",2020,"AIAA Journal","58","11",,"AU9","",,,"10.2514/1.J056060.c1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095113336&doi=10.2514%2f1.J056060.c1&partnerID=40&md5=df48221b9f723098a11c60824928435d",Erratum,"Final","",Scopus,2-s2.0-85095113336
"Peitz, S., Otto, S.E., Rowley, C.W.","57195921307;57217794391;35515725200;","Data-driven model predictive control using interpolated koopman generators",2020,"SIAM Journal on Applied Dynamical Systems","19","3",,"2162","2193",,21,"10.1137/20M1325678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094837223&doi=10.1137%2f20M1325678&partnerID=40&md5=fef5bef92c879499f36e10fef98cfb1a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85094837223
