Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Pan, Z., Nunes, J.K., Duprat, C., Shum, H.C., Stone, H.A.","57224664463;24758818900;17433848200;57016366300;7202564376;","Controlling extrudate volume fraction through poroelastic extrusion of entangled looped fibers",2023,"Nature Communications","14","1","1242","","",,,"10.1038/s41467-023-36860-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149527915&doi=10.1038%2fs41467-023-36860-y&partnerID=40&md5=0babcda70c88e8fe8a84bd71e908792b",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85149527915
"Roggeveen, J.V., Stone, H.A., Kurzthaler, C.","57194614193;7202564376;56491056800;","Transport of a passive scalar in wide channels with surface topography: An asymptotic theory",2023,"Journal of Physics Condensed Matter","35","27","274003","","",,,"10.1088/1361-648X/acc8ad","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152863857&doi=10.1088%2f1361-648X%2facc8ad&partnerID=40&md5=5b4e2766ab352c63982c39e6270c56f9",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85152863857
"Christov, I.C., Stone, H.A.","23007883200;7202564376;","Non-Fickian macroscopic model of axial diffusion of granular materials in a long cylindrical tumbler",2023,"Mechanics Research Communications","129",,"104100","","",,,"10.1016/j.mechrescom.2023.104100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151438061&doi=10.1016%2fj.mechrescom.2023.104100&partnerID=40&md5=9f88d52de4673c0168c7fdb029c69580",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85151438061
"Herrada, M.A., Yu, Y.E., Stone, H.A.","6603410143;57193930894;7202564376;","Global stability analysis of bubbles rising in a vertical capillary with an external flow",2023,"Journal of Fluid Mechanics","958",,"A45","","",,,"10.1017/jfm.2023.123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149979372&doi=10.1017%2fjfm.2023.123&partnerID=40&md5=b77d737ec7f442e188f93cacccc229b7",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85149979372
"Li, Y., Pahlavan, A.A., Chen, Y., Liu, S., Li, Y., Stone, H.A., Granick, S.","58068547000;57201795288;58068629500;58068547100;55904685600;7202564376;7005825141;","Oil-on-water droplets faceted and stabilized by vortex halos in the subphase",2023,"Proceedings of the National Academy of Sciences of the United States of America","120","4","e2214657120","","",,,"10.1073/pnas.2214657120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146412945&doi=10.1073%2fpnas.2214657120&partnerID=40&md5=6de7db4de946c139062dbca2cc6cff36",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85146412945
"Bazazi, P., Stone, H.A., Hejazi, S.H.","57202437597;7202564376;36872310900;","Dynamics of Droplet Pinch-Off at Emulsified Oil-Water Interfaces: Interplay between Interfacial Viscoelasticity and Capillary Forces",2023,"Physical Review Letters","130","3","034001","","",,,"10.1103/PhysRevLett.130.034001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147192379&doi=10.1103%2fPhysRevLett.130.034001&partnerID=40&md5=2b30e6bc7913a694188bc897ea981a05",Article,"Final","",Scopus,2-s2.0-85147192379
"Stone, H.A., Moin, P.","7202564376;58105014700;","Introduction",2023,"Annual Review of Fluid Mechanics","55",,,"V","",,,"10.1146/annurev-fl-55-101822-100001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148207256&doi=10.1146%2fannurev-fl-55-101822-100001&partnerID=40&md5=acbb64dc41075c65fe00c646431223c4",Editorial,"Final","",Scopus,2-s2.0-85148207256
"Shen, Y., Liu, Y., Nunes, J.K., Wang, C., Xu, M., To, M.K.T., Stone, H.A., Shum, H.C.","57453540100;57205085601;24758818900;57756624400;58151285600;35605045900;7202564376;57016366300;","Fibro-Gel: An All-Aqueous Hydrogel Consisting of Microfibers with Tunable Release Profile and its Application in Wound Healing",2023,"Advanced Materials",,,,"","",,1,"10.1002/adma.202211637","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150642538&doi=10.1002%2fadma.202211637&partnerID=40&md5=6fb527c85c11d9794cae05edc657af52",Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85150642538
"Iqtidar, A., Kilbride, J.J., Ouali, F.F., Fairhurst, D.J., Stone, H.A., Masoud, H.","57224985697;57295354000;57214351325;55597479600;7202564376;26024271200;","Drying dynamics of sessile-droplet arrays",2023,"Physical Review Fluids","8","1","013602","","",,1,"10.1103/PhysRevFluids.8.013602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146372844&doi=10.1103%2fPhysRevFluids.8.013602&partnerID=40&md5=86d539a82cd6e3f4f2c6e6cd8c083044",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85146372844
"Kurzthaler, C., Brandão, R., Schnitzer, O., Stone, H.A.","56491056800;55967378500;53164761800;7202564376;","Shape of a tethered filament in various low-Reynolds-number flows",2023,"Physical Review Fluids","8","1","014101","","",,,"10.1103/PhysRevFluids.8.014101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146366696&doi=10.1103%2fPhysRevFluids.8.014101&partnerID=40&md5=ee4faa95c56eb60b917af41b3e8990aa",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85146366696
