Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Angatkina, O., Alleyne, A.G., Wissa, A.","56512246400;7005591425;55178989500;","Robust Design and Evaluation of a Novel Modular Origami-Enabled Mobile Robot (OSCAR)",2023,"Journal of Mechanisms and Robotics","15","2","021015","","",,1,"10.1115/1.4054361","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137823027&doi=10.1115%2f1.4054361&partnerID=40&md5=352b08e4477c83d67703273d5303ef62",Article,"Final","",Scopus,2-s2.0-85137823027
"Wang, Y., Wang, Q., Liu, M., Qin, Y., Cheng, L., Bolmin, O., Alleyne, M., Wissa, A., Baughman, R.H., Vella, D., Tawfick, S.","57189663756;58077292600;57198349919;57223114056;58077846800;57194975983;6603599771;55178989500;57219756739;8249212800;6503947488;","Insect-scale jumping robots enabled by a dynamic buckling cascade",2023,"Proceedings of the National Academy of Sciences of the United States of America","120","5","e2210651120","","",,,"10.1073/pnas.2210651120","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146809945&doi=10.1073%2fpnas.2210651120&partnerID=40&md5=cf584f4e202f464551e35cafc3bd716c",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85146809945
"Barley, W.C., Ruge-Jones, L., Wissa, A., Suarez, A.V., Alleyne, M.","36141727600;57200532948;55178989500;57674675600;6603599771;","Addressing Diverse Motivations to Enable Bioinspired Design",2022,"Integrative and Comparative Biology","62","5",,"1192","1201",,1,"10.1093/icb/icac041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158165983&doi=10.1093%2ficb%2ficac041&partnerID=40&md5=efb1f14aed5ac05bcbf6ce145a1e5e56",Article,"Final","",Scopus,2-s2.0-85158165983
"Wissa, A., Alleyne, M., Barley, W.C., Suarez, A.V.","55178989500;6603599771;36141727600;57674675600;","Best Practices of Bioinspired Design: Key Themes and Challenges",2022,"Integrative and Comparative Biology","62","5",,"1147","1152",,,"10.1093/icb/icac143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158149535&doi=10.1093%2ficb%2ficac143&partnerID=40&md5=4c425bf0b161a5770452e98a66d84617",Article,"Final","",Scopus,2-s2.0-85158149535
"Bolmin, O., Mcelrath, T.C., Wissa, A., Alleyne, M.","57194975983;56675656000;55178989500;6603599771;","Scaling of Jumping Performance in Click Beetles (Coleoptera: Elateridae)",2022,"Integrative and Comparative Biology","62","5",,"1227","1234",,1,"10.1093/icb/icac068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158129166&doi=10.1093%2ficb%2ficac068&partnerID=40&md5=fbe02eb3e242e063afadc682b12f3074",Conference Paper,"Final","",Scopus,2-s2.0-85158129166
"Saro-Cortes, V., Cui, Y., Dufficy, T., Boctor, A., Flammang, B.E., Wissa, A.","57201672409;58237440500;58236479700;58236956300;18037001000;55178989500;","An Adaptable Flying Fish Robotic Model for Aero- and Hydrodynamic Experimentation",2022,"Integrative and Comparative Biology","62","5",,"1202","1216",,3,"10.1093/icb/icac101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139010652&doi=10.1093%2ficb%2ficac101&partnerID=40&md5=47fab29c80528ce1af2e981ec1f00ca9",Conference Paper,"Final","",Scopus,2-s2.0-85139010652
"Wissa, A.","55178989500;","Trade-offs between stability and manoeuvrability in bird flight",2022,"Nature","603","7902",,"579","580",,,"10.1038/d41586-022-00638-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127730046&doi=10.1038%2fd41586-022-00638-x&partnerID=40&md5=ee7664f63154ae76a5b9ff33c44f3135",Note,"Final","",Scopus,2-s2.0-85127730046
"Othman, A.K., Nair, N.J., Sandeep, A., Goza, A., Wissa, A.","57826272200;57205130523;57826782900;57189692802;55178989500;","Numerical and Experimental Study of a Covert-Inspired Passively Deployable Flap for Aerodynamic Lift Enhancement",2022,"AIAA AVIATION 2022 Forum",,,"AIAA 2022-3980","","",,,"10.2514/6.2022-3980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135233284&doi=10.2514%2f6.2022-3980&partnerID=40&md5=7805b658df91648f9150d1195f84be80",Conference Paper,"Final","",Scopus,2-s2.0-85135233284
"Duan, C., Wissa, A.","57203435148;55178989500;","Covert-inspired flaps for lift enhancement and stall mitigation",2021,"Bioinspiration and Biomimetics","16","4","046020","","",,6,"10.1088/1748-3190/abf3b3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109115797&doi=10.1088%2f1748-3190%2fabf3b3&partnerID=40&md5=7a05a17edc36c3138b30cd17f6875e3d",Article,"Final","",Scopus,2-s2.0-85109115797
"Bolmin, O., Socha, J.J., Alleyne, M., Dunn, A.C., Fezzaa, K., Wissa, A.A.","57194975983;8585845700;6603599771;16303493000;6603537713;55178989500;","Nonlinear elasticity and damping govern ultrafast dynamics in click beetles",2021,"Proceedings of the National Academy of Sciences of the United States of America","118","5","e2014569118","","",,13,"10.1073/pnas.2014569118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100033314&doi=10.1073%2fpnas.2014569118&partnerID=40&md5=0c4de27b3bb2a105dbef2593283c9d68",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85100033314
